scene,speaker,system,m,depth,si_sdr,deflation_index,n_accepted_before,refine_rounds
hetero_different-chapter_00001_7021-8224-61,s2,gated_deflation,3,1,61.36693408354431,1,1,0
hetero_different-chapter_00001_7021-8224-61,s2,gated_deflation,3,2,-0.731440218833082,1,1,0
hetero_different-chapter_00001_7021-8224-61,s2,gated_deflation,3,3,-2.832481218471017,1,1,0
hetero_different-chapter_00001_7021-8224-61,s3,gated_deflation,3,1,42.27804607039537,2,2,0
hetero_different-chapter_00001_7021-8224-61,s3,gated_deflation,3,2,nan,2,2,0
hetero_different-chapter_00001_7021-8224-61,s3,gated_deflation,3,3,-3.3514919002475407,2,2,0
hetero_different-chapter_00001_7021-8224-61,s1,coarse_to_fine,3,1,inf,,,2
hetero_different-chapter_00001_7021-8224-61,s1,coarse_to_fine,3,2,7.261994319283169,,,2
hetero_different-chapter_00001_7021-8224-61,s1,coarse_to_fine,3,3,-1.9230830109010288,,,2
hetero_different-chapter_00001_7021-8224-61,s2,coarse_to_fine,3,1,67.05497796404282,,,2
hetero_different-chapter_00001_7021-8224-61,s2,coarse_to_fine,3,2,1.851862304127748,,,2
hetero_different-chapter_00001_7021-8224-61,s2,coarse_to_fine,3,3,-0.6883501826093069,,,2
hetero_different-chapter_00001_7021-8224-61,s3,coarse_to_fine,3,1,50.98832995848838,,,2
hetero_different-chapter_00001_7021-8224-61,s3,coarse_to_fine,3,2,nan,,,2
hetero_different-chapter_00001_7021-8224-61,s3,coarse_to_fine,3,3,-7.102246402541251,,,2
hetero_different-chapter_00002_7127-8463-4077,s1,no_recursion,3,1,inf,,,0
hetero_different-chapter_00002_7127-8463-4077,s1,no_recursion,3,2,nan,,,0
hetero_different-chapter_00002_7127-8463-4077,s1,no_recursion,3,3,-2.4175978162824134,,,0
hetero_different-chapter_00002_7127-8463-4077,s2,no_recursion,3,1,59.205713493128385,,,0
hetero_different-chapter_00002_7127-8463-4077,s2,no_recursion,3,2,1.9689462721049777,,,0
hetero_different-chapter_00002_7127-8463-4077,s2,no_recursion,3,3,1.6842368222344042,,,0
hetero_different-chapter_00002_7127-8463-4077,s3,no_recursion,3,1,42.44808666103324,,,0
hetero_different-chapter_00002_7127-8463-4077,s3,no_recursion,3,2,-6.557290001188301,,,0
hetero_different-chapter_00002_7127-8463-4077,s3,no_recursion,3,3,-1.7643635590496765,,,0
hetero_different-chapter_00002_7127-8463-4077,s1,ungated_deflation,3,1,inf,0,0,0
hetero_different-chapter_00002_7127-8463-4077,s1,ungated_deflation,3,2,nan,0,0,0
hetero_different-chapter_00002_7127-8463-4077,s1,ungated_deflation,3,3,-2.4175978162824134,0,0,0
hetero_different-chapter_00002_7127-8463-4077,s2,ungated_deflation,3,1,58.125737764751634,2,2,0
hetero_different-chapter_00002_7127-8463-4077,s2,ungated_deflation,3,2,-0.3492943509712263,2,2,0
hetero_different-chapter_00002_7127-8463-4077,s2,ungated_deflation,3,3,-4.611706560239803,2,2,0
hetero_different-chapter_00002_7127-8463-4077,s3,ungated_deflation,3,1,38.8711050159149,1,1,0
hetero_different-chapter_00002_7127-8463-4077,s3,ungated_deflation,3,2,-10.900312068499186,1,1,0
hetero_different-chapter_00002_7127-8463-4077,s3,ungated_deflation,3,3,-5.229470681946137,1,1,0
hetero_different-chapter_00002_7127-8463-4077,s1,gated_deflation,3,1,inf,0,0,0
hetero_different-chapter_00002_7127-8463-4077,s1,gated_deflation,3,2,nan,0,0,0
hetero_different-chapter_00002_7127-8463-4077,s1,gated_deflation,3,3,-2.4175978162824134,0,0,0
hetero_different-chapter_00002_7127-8463-4077,s2,gated_deflation,3,1,58.125737764751634,2,2,0
hetero_different-chapter_00002_7127-8463-4077,s2,gated_deflation,3,2,-0.3492943509712263,2,2,0
hetero_different-chapter_00002_7127-8463-4077,s2,gated_deflation,3,3,-4.611706560239803,2,2,0
hetero_different-chapter_00002_7127-8463-4077,s3,gated_deflation,3,1,38.8711050159149,1,1,0
hetero_different-chapter_00002_7127-8463-4077,s3,gated_deflation,3,2,-10.900312068499186,1,1,0
hetero_different-chapter_00002_7127-8463-4077,s3,gated_deflation,3,3,-5.229470681946137,1,1,0
hetero_different-chapter_00002_7127-8463-4077,s1,coarse_to_fine,3,1,inf,,,2
hetero_different-chapter_00002_7127-8463-4077,s1,coarse_to_fine,3,2,nan,,,2
hetero_different-chapter_00002_7127-8463-4077,s1,coarse_to_fine,3,3,-2.4175978162824134,,,2
hetero_different-chapter_00002_7127-8463-4077,s2,coarse_to_fine,3,1,62.67609788351709,,,2
hetero_different-chapter_00002_7127-8463-4077,s2,coarse_to_fine,3,2,-0.11076611569169079,,,2
hetero_different-chapter_00002_7127-8463-4077,s2,coarse_to_fine,3,3,-0.05519227822750461,,,2
hetero_different-chapter_00002_7127-8463-4077,s3,coarse_to_fine,3,1,41.52320186205208,,,2
hetero_different-chapter_00002_7127-8463-4077,s3,coarse_to_fine,3,2,-8.108570117211064,,,2
hetero_different-chapter_00002_7127-8463-4077,s3,coarse_to_fine,3,3,-2.8493771936715087,,,2
hetero_different-chapter_00003_2830-5142-7021,s1,no_recursion,3,1,inf,,,0
hetero_different-chapter_00003_2830-5142-7021,s1,no_recursion,3,2,nan,,,0
hetero_different-chapter_00003_2830-5142-7021,s1,no_recursion,3,3,1.295733668536327,,,0
hetero_different-chapter_00003_2830-5142-7021,s2,no_recursion,3,1,55.315908602094346,,,0
