diarization,dilate_ms,scene,speaker,system,m,si_sdr,deflation_index,n_accepted_before,refine_rounds,cluster,n_clusters
real,200.0,long_00000_5639-61-121,s1,no_recursion,3,-18.013263128449235,,,0,SPEAKER_01,3
real,200.0,long_00000_5639-61-121,s2,no_recursion,3,-18.003776985814778,,,0,SPEAKER_02,3
real,200.0,long_00000_5639-61-121,s3,no_recursion,3,-14.319429157900434,,,0,SPEAKER_00,3
real,200.0,long_00000_5639-61-121,s1,ungated_deflation,3,-18.013263128449235,0,0,0,SPEAKER_01,3
real,200.0,long_00000_5639-61-121,s2,ungated_deflation,3,-11.297898848664314,1,1,0,SPEAKER_02,3
real,200.0,long_00000_5639-61-121,s3,ungated_deflation,3,-12.728699669622861,2,2,0,SPEAKER_00,3
real,200.0,long_00000_5639-61-121,s1,gated_deflation,3,-18.013263128449235,0,0,0,SPEAKER_01,3
real,200.0,long_00000_5639-61-121,s2,gated_deflation,3,-11.297898848664314,1,1,0,SPEAKER_02,3
real,200.0,long_00000_5639-61-121,s3,gated_deflation,3,-12.728699669622861,2,2,0,SPEAKER_00,3
real,200.0,long_00000_5639-61-121,s1,coarse_to_fine,3,-18.013263128449235,,,2,SPEAKER_01,3
real,200.0,long_00000_5639-61-121,s2,coarse_to_fine,3,-16.18051693801213,,,2,SPEAKER_02,3
real,200.0,long_00000_5639-61-121,s3,coarse_to_fine,3,-14.319429157900434,,,2,SPEAKER_00,3
real,400.0,long_00000_5639-61-121,s1,no_recursion,3,-18.55680337606258,,,0,SPEAKER_01,3
real,400.0,long_00000_5639-61-121,s2,no_recursion,3,-15.995933288283517,,,0,SPEAKER_02,3
real,400.0,long_00000_5639-61-121,s3,no_recursion,3,-13.58774168575447,,,0,SPEAKER_00,3
real,400.0,long_00000_5639-61-121,s1,ungated_deflation,3,-18.55680337606258,0,0,0,SPEAKER_01,3
real,400.0,long_00000_5639-61-121,s2,ungated_deflation,3,-10.54939525205957,1,1,0,SPEAKER_02,3
real,400.0,long_00000_5639-61-121,s3,ungated_deflation,3,-12.438916617969005,2,2,0,SPEAKER_00,3
real,400.0,long_00000_5639-61-121,s1,gated_deflation,3,-18.55680337606258,0,0,0,SPEAKER_01,3
real,400.0,long_00000_5639-61-121,s2,gated_deflation,3,-10.54939525205957,1,1,0,SPEAKER_02,3
real,400.0,long_00000_5639-61-121,s3,gated_deflation,3,-12.438916617969005,2,2,0,SPEAKER_00,3
real,400.0,long_00000_5639-61-121,s1,coarse_to_fine,3,-18.55680337606258,,,2,SPEAKER_01,3
real,400.0,long_00000_5639-61-121,s2,coarse_to_fine,3,-14.883159017447852,,,2,SPEAKER_02,3
real,400.0,long_00000_5639-61-121,s3,coarse_to_fine,3,-13.58774168575447,,,2,SPEAKER_00,3
real,800.0,long_00000_5639-61-121,s1,no_recursion,3,-19.571963742141918,,,0,SPEAKER_01,3
real,800.0,long_00000_5639-61-121,s2,no_recursion,3,-16.38495376919075,,,0,SPEAKER_02,3
real,800.0,long_00000_5639-61-121,s3,no_recursion,3,-14.048450518507575,,,0,SPEAKER_00,3
real,800.0,long_00000_5639-61-121,s1,ungated_deflation,3,-19.571963742141918,0,0,0,SPEAKER_01,3
real,800.0,long_00000_5639-61-121,s2,ungated_deflation,3,-10.442747771323472,1,1,0,SPEAKER_02,3
real,800.0,long_00000_5639-61-121,s3,ungated_deflation,3,-12.27228524138831,2,2,0,SPEAKER_00,3
real,800.0,long_00000_5639-61-121,s1,gated_deflation,3,-19.571963742141918,0,0,0,SPEAKER_01,3
real,800.0,long_00000_5639-61-121,s2,gated_deflation,3,-10.442747771323472,1,1,0,SPEAKER_02,3
real,800.0,long_00000_5639-61-121,s3,gated_deflation,3,-12.27228524138831,2,2,0,SPEAKER_00,3
real,800.0,long_00000_5639-61-121,s1,coarse_to_fine,3,-19.571963742141918,,,2,SPEAKER_01,3
real,800.0,long_00000_5639-61-121,s2,coarse_to_fine,3,-14.905878327014365,,,2,SPEAKER_02,3
real,800.0,long_00000_5639-61-121,s3,coarse_to_fine,3,-14.048450518507575,,,2,SPEAKER_00,3
oracle,0.0,long_00001_3729-2300-8230,s1,no_recursion,3,-13.025236254905167,,,0,s1,3
oracle,0.0,long_00001_3729-2300-8230,s2,no_recursion,3,-3.9544617068110464,,,0,s2,3
oracle,0.0,long_00001_3729-2300-8230,s3,no_recursion,3,-21.803081156540255,,,0,s3,3
oracle,0.0,long_00001_3729-2300-8230,s1,ungated_deflation,3,-13.025236254905167,0,0,0,s1,3
oracle,0.0,long_00001_3729-2300-8230,s2,ungated_deflation,3,-4.125262414330359,1,1,0,s2,3
oracle,0.0,long_00001_3729-2300-8230,s3,ungated_deflation,3,-16.67787891934126,2,2,0,s3,3
oracle,0.0,long_00001_3729-2300-8230,s1,gated_deflation,3,-13.025236254905167,0,0,0,s1,3
oracle,0.0,long_00001_3729-2300-8230,s2,gated_deflation,3,-4.125262414330359,1,1,0,s2,3
oracle,0.0,long_00001_3729-2300-8230,s3,gated_deflation,3,-16.67787891934126,2,2,0,s3,3
oracle,0.0,long_00001_3729-2300-8230,s1,coarse_to_fine,3,-17.155498796323513,,,2,s1,3
oracle,0.0,long_00001_3729-2300-8230,s2,coarse_to_fine,3,-4.104154409172054,,,2,s2,3
oracle,0.0,long_00001_3729-2300-8230,s3,coarse_to_fine,3,-21.803081156540255,,,2,s3,3
oracle,200.0,long_00001_3729-2300-8230,s1,no_recursion,3,-13.004286169858526,,,0,s1,3
oracle,200.0,long_00001_3729-2300-8230,s2,no_recursion,3,-3.885482406647095,,,0,s2,3
oracle,200.0,long_00001_3729-2300-8230,s3,no_recursion,3,-22.53691057192826,,,0,s3,3
oracle,200.0,long_00001_3729-2300-8230,s1,ungated_deflation,3,-13.004286169858526,0,0,0,s1,3
oracle,200.0,long_00001_3729-2300-8230,s2,ungated_deflation,3,-3.9542211555994773,1,1,0,s2,3
oracle,200.0,long_00001_3729-2300-8230,s3,ungated_deflation,3,-16.5370236020749,2,2,0,s3,3
oracle,200.0,long_00001_3729-2300-8230,s1,gated_deflation,3,-13.004286169858526,0,0,0,s1,3
oracle,200.0,long_00001_3729-2300-8230,s2,gated_deflation,3,-3.9542211555994773,1,1,0,s2,3
oracle,200.0,long_00001_3729-2300-8230,s3,gated_deflation,3,-16.5370236020749,2,2,0,s3,3
oracle,200.0,long_00001_3729-2300-8230,s1,coarse_to_fine,3,-17.83405285094623,,,2,s1,3
oracle,200.0,long_00001_3729-2300-8230,s2,coarse_to_fine,3,-4.042516907678603,,,2,s2,3
oracle,200.0,long_00001_3729-2300-8230,s3,coarse_to_fine,3,-22.53691057192826,,,2,s3,3
oracle,400.0,long_00001_3729-2300-8230,s1,no_recursion,3,-12.961000955530963,,,0,s1,3
oracle,400.0,long_00001_3729-2300-8230,s2,no_recursion,3,-3.8321446071466196,,,0,s2,3
oracle,400.0,long_00001_3729-2300-8230,s3,no_recursion,3,-21.736216153773867,,,0,s3,3
oracle,400.0,long_00001_3729-2300-8230,s1,ungated_deflation,3,-12.961000955530963,0,0,0,s1,3
oracle,400.0,long_00001_3729-2300-8230,s2,ungated_deflation,3,-4.062422080184903,1,1,0,s2,3
oracle,400.0,long_00001_3729-2300-8230,s3,ungated_deflation,3,-16.6993957096784,2,2,0,s3,3
oracle,400.0,long_00001_3729-2300-8230,s1,gated_deflation,3,-12.961000955530963,0,0,0,s1,3
oracle,400.0,long_00001_3729-2300-8230,s2,gated_deflation,3,-4.062422080184903,1,1,0,s2,3
oracle,400.0,long_00001_3729-2300-8230,s3,gated_deflation,3,-16.6993957096784,2,2,0,s3,3
oracle,400.0,long_00001_3729-2300-8230,s1,coarse_to_fine,3,-15.990105709242236,,,2,s1,3
oracle,400.0,long_00001_3729-2300-8230,s2,coarse_to_fine,3,-3.990521886654286,,,2,s2,3
oracle,400.0,long_00001_3729-2300-8230,s3,coarse_to_fine,3,-21.736216153773867,,,2,s3,3
oracle,800.0,long_00001_3729-2300-8230,s1,no_recursion,3,-12.761011287863514,,,0,s1,3
oracle,800.0,long_00001_3729-2300-8230,s2,no_recursion,3,-3.350555238639168,,,0,s2,3
oracle,800.0,long_00001_3729-2300-8230,s3,no_recursion,3,-24.09828387264206,,,0,s3,3
oracle,800.0,long_00001_3729-2300-8230,s1,ungated_deflation,3,-12.761011287863514,0,0,0,s1,3
oracle,800.0,long_00001_3729-2300-8230,s2,ungated_deflation,3,-3.491935743047871,1,1,0,s2,3
oracle,800.0,long_00001_3729-2300-8230,s3,ungated_deflation,3,-16.35510411121434,2,2,0,s3,3
oracle,800.0,long_00001_3729-2300-8230,s1,gated_deflation,3,-12.761011287863514,0,0,0,s1,3
oracle,800.0,long_00001_3729-2300-8230,s2,gated_deflation,3,-3.491935743047871,1,1,0,s2,3
oracle,800.0,long_00001_3729-2300-8230,s3,gated_deflation,3,-16.35510411121434,2,2,0,s3,3
oracle,800.0,long_00001_3729-2300-8230,s1,coarse_to_fine,3,-13.7343924952508,,,2,s1,3
oracle,800.0,long_00001_3729-2300-8230,s2,coarse_to_fine,3,-3.482470187310593,,,2,s2,3
oracle,800.0,long_00001_3729-2300-8230,s3,coarse_to_fine,3,-24.09828387264206,,,2,s3,3
real,0.0,long_00001_3729-2300-8230,s1,no_recursion,3,-22.25733768872617,,,0,SPEAKER_02,3
real,0.0,long_00001_3729-2300-8230,s2,no_recursion,3,-5.683793327312937,,,0,SPEAKER_00,3
real,0.0,long_00001_3729-2300-8230,s3,no_recursion,3,-27.359137037299735,,,0,SPEAKER_01,3
real,0.0,long_00001_3729-2300-8230,s1,ungated_deflation,3,-17.28180570303023,1,1,0,SPEAKER_02,3
real,0.0,long_00001_3729-2300-8230,s2,ungated_deflation,3,-5.683793327312937,0,0,0,SPEAKER_00,3
real,0.0,long_00001_3729-2300-8230,s3,ungated_deflation,3,-18.67447523488312,2,2,0,SPEAKER_01,3
real,0.0,long_00001_3729-2300-8230,s1,gated_deflation,3,-17.28180570303023,1,1,0,SPEAKER_02,3
real,0.0,long_00001_3729-2300-8230,s2,gated_deflation,3,-5.683793327312937,0,0,0,SPEAKER_00,3
real,0.0,long_00001_3729-2300-8230,s3,gated_deflation,3,-18.67447523488312,2,2,0,SPEAKER_01,3
real,0.0,long_00001_3729-2300-8230,s1,coarse_to_fine,3,-28.402101052506552,,,2,SPEAKER_02,3
real,0.0,long_00001_3729-2300-8230,s2,coarse_to_fine,3,-5.673658669192357,,,2,SPEAKER_00,3
real,0.0,long_00001_3729-2300-8230,s3,coarse_to_fine,3,-27.359137037299735,,,2,SPEAKER_01,3
real,200.0,long_00001_3729-2300-8230,s1,no_recursion,3,-18.74329961547696,,,0,SPEAKER_02,3
real,200.0,long_00001_3729-2300-8230,s2,no_recursion,3,-4.7097043680540445,,,0,SPEAKER_00,3
real,200.0,long_00001_3729-2300-8230,s3,no_recursion,3,-45.36753039457224,,,0,SPEAKER_01,3
real,200.0,long_00001_3729-2300-8230,s1,ungated_deflation,3,-18.74329961547696,0,0,0,SPEAKER_02,3
real,200.0,long_00001_3729-2300-8230,s2,ungated_deflation,3,-4.614818417404878,1,1,0,SPEAKER_00,3
real,200.0,long_00001_3729-2300-8230,s3,ungated_deflation,3,-18.966100308526098,2,2,0,SPEAKER_01,3
real,200.0,long_00001_3729-2300-8230,s1,gated_deflation,3,-18.74329961547696,0,0,0,SPEAKER_02,3
real,200.0,long_00001_3729-2300-8230,s2,gated_deflation,3,-4.614818417404878,1,1,0,SPEAKER_00,3
real,200.0,long_00001_3729-2300-8230,s3,gated_deflation,3,-18.966100308526098,2,2,0,SPEAKER_01,3
real,200.0,long_00001_3729-2300-8230,s1,coarse_to_fine,3,-19.380969785885874,,,2,SPEAKER_02,3
real,200.0,long_00001_3729-2300-8230,s2,coarse_to_fine,3,-4.59898559807383,,,2,SPEAKER_00,3
real,200.0,long_00001_3729-2300-8230,s3,coarse_to_fine,3,-45.36753039457224,,,2,SPEAKER_01,3
real,400.0,long_00001_3729-2300-8230,s1,no_recursion,3,-16.964098337853454,,,0,SPEAKER_02,3
real,400.0,long_00001_3729-2300-8230,s2,no_recursion,3,-4.878848118219096,,,0,SPEAKER_00,3
real,400.0,long_00001_3729-2300-8230,s3,no_recursion,3,-21.87840030728006,,,0,SPEAKER_01,3
real,400.0,long_00001_3729-2300-8230,s1,ungated_deflation,3,-16.87170338183042,1,1,0,SPEAKER_02,3
real,400.0,long_00001_3729-2300-8230,s2,ungated_deflation,3,-4.505292485870366,2,2,0,SPEAKER_00,3
real,400.0,long_00001_3729-2300-8230,s3,ungated_deflation,3,-21.87840030728006,0,0,0,SPEAKER_01,3
real,400.0,long_00001_3729-2300-8230,s1,gated_deflation,3,-16.87170338183042,1,1,0,SPEAKER_02,3
real,400.0,long_00001_3729-2300-8230,s2,gated_deflation,3,-4.505292485870366,2,2,0,SPEAKER_00,3
real,400.0,long_00001_3729-2300-8230,s3,gated_deflation,3,-21.87840030728006,0,0,0,SPEAKER_01,3
real,400.0,long_00001_3729-2300-8230,s1,coarse_to_fine,3,-17.132762270747175,,,2,SPEAKER_02,3
real,400.0,long_00001_3729-2300-8230,s2,coarse_to_fine,3,-5.243986605552581,,,2,SPEAKER_00,3
