diarization,scene,speaker,system,m,depth,si_sdr,deflation_index,n_accepted_before,refine_rounds,cluster,n_clusters
oracle,long_00001_3729-2300-8230,s1,gated_deflation,3,1,73.45708658929459,0,0,0,s1,3
oracle,long_00001_3729-2300-8230,s1,gated_deflation,3,2,2.992716065849814,0,0,0,s1,3
oracle,long_00001_3729-2300-8230,s2,gated_deflation,3,1,43.77738191432924,1,1,0,s2,3
oracle,long_00001_3729-2300-8230,s2,gated_deflation,3,2,4.632814063156784,1,1,0,s2,3
oracle,long_00001_3729-2300-8230,s3,gated_deflation,3,1,48.265780277324794,2,2,0,s3,3
oracle,long_00001_3729-2300-8230,s3,gated_deflation,3,2,-6.0750262090692875,2,2,0,s3,3
oracle,long_00001_3729-2300-8230,s1,coarse_to_fine,3,1,73.45897124137879,,,2,s1,3
oracle,long_00001_3729-2300-8230,s1,coarse_to_fine,3,2,0.8045135751058401,,,2,s1,3
oracle,long_00001_3729-2300-8230,s2,coarse_to_fine,3,1,44.131889244249294,,,2,s2,3
oracle,long_00001_3729-2300-8230,s2,coarse_to_fine,3,2,4.9524223773114056,,,2,s2,3
oracle,long_00001_3729-2300-8230,s3,coarse_to_fine,3,1,52.48146327465544,,,2,s3,3
oracle,long_00001_3729-2300-8230,s3,coarse_to_fine,3,2,-4.547991386360529,,,2,s3,3
real,long_00001_3729-2300-8230,s1,no_recursion,3,1,34.011568406997924,,,0,SPEAKER_02,3
real,long_00001_3729-2300-8230,s1,no_recursion,3,2,-1.6317005490091527,,,0,SPEAKER_02,3
real,long_00001_3729-2300-8230,s2,no_recursion,3,1,94.03269338645286,,,0,SPEAKER_00,3
real,long_00001_3729-2300-8230,s2,no_recursion,3,2,2.4323987954886497,,,0,SPEAKER_00,3
real,long_00001_3729-2300-8230,s3,no_recursion,3,1,59.53255497861917,,,0,SPEAKER_01,3
real,long_00001_3729-2300-8230,s3,no_recursion,3,2,-8.124886001764756,,,0,SPEAKER_01,3
real,long_00001_3729-2300-8230,s1,ungated_deflation,3,1,34.011568406997924,1,1,0,SPEAKER_02,3
real,long_00001_3729-2300-8230,s1,ungated_deflation,3,2,-5.310933781805543,1,1,0,SPEAKER_02,3
real,long_00001_3729-2300-8230,s2,ungated_deflation,3,1,94.03269338645286,0,0,0,SPEAKER_00,3
real,long_00001_3729-2300-8230,s2,ungated_deflation,3,2,2.4323987954886497,0,0,0,SPEAKER_00,3
real,long_00001_3729-2300-8230,s3,ungated_deflation,3,1,59.53255497861917,2,2,0,SPEAKER_01,3
real,long_00001_3729-2300-8230,s3,ungated_deflation,3,2,-8.970761297239886,2,2,0,SPEAKER_01,3
real,long_00001_3729-2300-8230,s1,gated_deflation,3,1,34.011568406997924,1,1,0,SPEAKER_02,3
real,long_00001_3729-2300-8230,s1,gated_deflation,3,2,-5.310933781805543,1,1,0,SPEAKER_02,3
real,long_00001_3729-2300-8230,s2,gated_deflation,3,1,94.03269338645286,0,0,0,SPEAKER_00,3
real,long_00001_3729-2300-8230,s2,gated_deflation,3,2,2.4323987954886497,0,0,0,SPEAKER_00,3
real,long_00001_3729-2300-8230,s3,gated_deflation,3,1,59.53255497861917,2,2,0,SPEAKER_01,3
real,long_00001_3729-2300-8230,s3,gated_deflation,3,2,-8.970761297239886,2,2,0,SPEAKER_01,3
real,long_00001_3729-2300-8230,s1,coarse_to_fine,3,1,34.011568406997924,,,2,SPEAKER_02,3
real,long_00001_3729-2300-8230,s1,coarse_to_fine,3,2,-0.7024650685774813,,,2,SPEAKER_02,3
real,long_00001_3729-2300-8230,s2,coarse_to_fine,3,1,94.03269338645286,,,2,SPEAKER_00,3
real,long_00001_3729-2300-8230,s2,coarse_to_fine,3,2,2.2162409796683877,,,2,SPEAKER_00,3
real,long_00001_3729-2300-8230,s3,coarse_to_fine,3,1,59.53255497861917,,,2,SPEAKER_01,3
real,long_00001_3729-2300-8230,s3,coarse_to_fine,3,2,-8.124886001764756,,,2,SPEAKER_01,3
real_forced_m,long_00001_3729-2300-8230,s1,no_recursion,3,1,34.011568406997924,,,0,SPEAKER_02,3
real_forced_m,long_00001_3729-2300-8230,s1,no_recursion,3,2,-1.6317005490091527,,,0,SPEAKER_02,3
real_forced_m,long_00001_3729-2300-8230,s2,no_recursion,3,1,94.03269338645286,,,0,SPEAKER_00,3
real_forced_m,long_00001_3729-2300-8230,s2,no_recursion,3,2,2.4323987954886497,,,0,SPEAKER_00,3
real_forced_m,long_00001_3729-2300-8230,s3,no_recursion,3,1,59.53255497861917,,,0,SPEAKER_01,3
real_forced_m,long_00001_3729-2300-8230,s3,no_recursion,3,2,-8.124886001764756,,,0,SPEAKER_01,3
real_forced_m,long_00001_3729-2300-8230,s1,ungated_deflation,3,1,34.011568406997924,1,1,0,SPEAKER_02,3
real_forced_m,long_00001_3729-2300-8230,s1,ungated_deflation,3,2,-5.310933781805543,1,1,0,SPEAKER_02,3
real_forced_m,long_00001_3729-2300-8230,s2,ungated_deflation,3,1,94.03269338645286,0,0,0,SPEAKER_00,3
real_forced_m,long_00001_3729-2300-8230,s2,ungated_deflation,3,2,2.4323987954886497,0,0,0,SPEAKER_00,3
real_forced_m,long_00001_3729-2300-8230,s3,ungated_deflation,3,1,59.53255497861917,2,2,0,SPEAKER_01,3
