scene,speaker,solo_interior,solo_seams,overlap_proposed,overlap_blind,eval_margin
4077-13754-0001_5142-33396-0065_5683-32866-0012,s1,inf,46.81451127807379,8.25675264516438,4.27823767259405,0.37667243520094895
4077-13754-0001_5142-33396-0065_5683-32866-0012,s2,inf,29.759620886108586,-2.071039330114529,-2.5355501145927057,-0.026276509500469003
4077-13754-0001_5142-33396-0065_5683-32866-0012,s3,inf,72.18139121208422,8.332734151171586,-1.5560457161920018,0.22957867119339115
4507-16021-0025_1188-133604-0025_4992-23283-0016,s1,inf,41.09052422490582,10.944102212730524,11.204269761467717,0.12738937848530918
4507-16021-0025_1188-133604-0025_4992-23283-0016,s2,inf,27.45820217494599,0.860576155136865,11.53889814644533,0.23234766321073952
4507-16021-0025_1188-133604-0025_4992-23283-0016,s3,inf,32.663740127415736,9.566887512602234,-2.052157257046915,0.08621153047833474
5142-36377-0017_2830-3980-0022_3729-6852-0038,s1,inf,32.34629109775442,2.2190610384192517,-1.5742101920779725,0.2343129961802154
5142-36377-0017_2830-3980-0022_3729-6852-0038,s2,inf,50.62198960296712,2.4982380695776234,3.4748815660563515,-0.09524642988343346
5142-36377-0017_2830-3980-0022_3729-6852-0038,s3,inf,inf,nan,nan,0.24892584013229757
7021-79759-0005_4507-16021-0058_260-123288-0005,s1,inf,33.74106612365805,7.410823613048539,-4.890230496016218,0.14372138299660575
7021-79759-0005_4507-16021-0058_260-123288-0005,s2,inf,24.061945936484648,11.629936834784576,13.427963585285749,0.10620572098128234
7021-79759-0005_4507-16021-0058_260-123288-0005,s3,inf,inf,nan,nan,0.21600244311451489
672-122797-0044_8463-294828-0013_4507-16021-0043,s1,inf,29.277023810772572,15.792689655525258,16.734347066293864,0.2005364984272363
672-122797-0044_8463-294828-0013_4507-16021-0043,s2,inf,37.990060698922754,2.5531570855085963,-6.1240133527121765,0.1336283867563861
672-122797-0044_8463-294828-0013_4507-16021-0043,s3,inf,38.29150973308436,-3.4546022373333045,2.0052402242386664,-0.06278094017805824
6930-81414-0001_1995-1836-0006_121-121726-0014,s1,inf,56.23956230678493,7.985467040162506,2.666768165581923,0.2509400292614644
6930-81414-0001_1995-1836-0006_121-121726-0014,s2,inf,28.617475677700238,12.875113051943414,0.9757583845560275,0.17724689778202551
6930-81414-0001_1995-1836-0006_121-121726-0014,s3,inf,inf,nan,nan,0.042967452980863574
8555-284449-0002_1995-1837-0004_1089-134686-0002,s1,inf,78.20716202565465,-2.3346630225518616,-5.7464668761602855,0.17453552757476554
8555-284449-0002_1995-1837-0004_1089-134686-0002,s2,inf,34.81986991446683,7.666832331170703,1.9283818977395086,-0.04818896487384117
8555-284449-0002_1995-1837-0004_1089-134686-0002,s3,inf,inf,nan,nan,0.4069413527511959
7021-85628-0027_3575-170457-0025_8555-292519-0010,s1,inf,90.13814419802237,8.164974014326962,10.803914637732701,0.5327267724785603
