scene,speaker,system,depth,si_sdr
4507-16021-0025_1188-133604-0025_4992-23283-0016,s3,gated_deflation,1,30.480240407776137
4507-16021-0025_1188-133604-0025_4992-23283-0016,s3,gated_deflation,2,nan
4507-16021-0025_1188-133604-0025_4992-23283-0016,s3,gated_deflation,3,-11.102426908096346
4507-16021-0025_1188-133604-0025_4992-23283-0016,s1,coarse_to_fine,1,72.07114516203349
4507-16021-0025_1188-133604-0025_4992-23283-0016,s1,coarse_to_fine,2,11.070338367425322
4507-16021-0025_1188-133604-0025_4992-23283-0016,s1,coarse_to_fine,3,7.04447253661852
4507-16021-0025_1188-133604-0025_4992-23283-0016,s2,coarse_to_fine,1,inf
4507-16021-0025_1188-133604-0025_4992-23283-0016,s2,coarse_to_fine,2,-23.500920757895933
4507-16021-0025_1188-133604-0025_4992-23283-0016,s2,coarse_to_fine,3,-19.50710198346555
4507-16021-0025_1188-133604-0025_4992-23283-0016,s3,coarse_to_fine,1,30.80088529927519
4507-16021-0025_1188-133604-0025_4992-23283-0016,s3,coarse_to_fine,2,nan
4507-16021-0025_1188-133604-0025_4992-23283-0016,s3,coarse_to_fine,3,-10.978294833810054
5142-36377-0017_2830-3980-0022_3729-6852-0038,s1,no_recursion,1,inf
5142-36377-0017_2830-3980-0022_3729-6852-0038,s1,no_recursion,2,-14.918099478224311
5142-36377-0017_2830-3980-0022_3729-6852-0038,s1,no_recursion,3,0.7718975205707258
5142-36377-0017_2830-3980-0022_3729-6852-0038,s2,no_recursion,1,inf
5142-36377-0017_2830-3980-0022_3729-6852-0038,s2,no_recursion,2,nan
5142-36377-0017_2830-3980-0022_3729-6852-0038,s2,no_recursion,3,5.244676013992038
5142-36377-0017_2830-3980-0022_3729-6852-0038,s3,no_recursion,1,34.16849266712079
5142-36377-0017_2830-3980-0022_3729-6852-0038,s3,no_recursion,2,0.816823278712837
5142-36377-0017_2830-3980-0022_3729-6852-0038,s3,no_recursion,3,-4.6004201816514545
5142-36377-0017_2830-3980-0022_3729-6852-0038,s1,ungated_deflation,1,inf
5142-36377-0017_2830-3980-0022_3729-6852-0038,s1,ungated_deflation,2,-14.918099478224311
5142-36377-0017_2830-3980-0022_3729-6852-0038,s1,ungated_deflation,3,0.7718975205707258
5142-36377-0017_2830-3980-0022_3729-6852-0038,s2,ungated_deflation,1,inf
5142-36377-0017_2830-3980-0022_3729-6852-0038,s2,ungated_deflation,2,nan
5142-36377-0017_2830-3980-0022_3729-6852-0038,s2,ungated_deflation,3,-6.1207665038848225
5142-36377-0017_2830-3980-0022_3729-6852-0038,s3,ungated_deflation,1,19.978899181690053
5142-36377-0017_2830-3980-0022_3729-6852-0038,s3,ungated_deflation,2,-1.933782827440882
5142-36377-0017_2830-3980-0022_3729-6852-0038,s3,ungated_deflation,3,-14.584113805396191
5142-36377-0017_2830-3980-0022_3729-6852-0038,s1,gated_deflation,1,inf
5142-36377-0017_2830-3980-0022_3729-6852-0038,s1,gated_deflation,2,-14.918099478224311
5142-36377-0017_2830-3980-0022_3729-6852-0038,s1,gated_deflation,3,0.7718975205707258
5142-36377-0017_2830-3980-0022_3729-6852-0038,s2,gated_deflation,1,inf
5142-36377-0017_2830-3980-0022_3729-6852-0038,s2,gated_deflation,2,nan
5142-36377-0017_2830-3980-0022_3729-6852-0038,s2,gated_deflation,3,-6.1207665038848225
5142-36377-0017_2830-3980-0022_3729-6852-0038,s3,gated_deflation,1,19.978899181690053
5142-36377-0017_2830-3980-0022_3729-6852-0038,s3,gated_deflation,2,-1.933782827440882
5142-36377-0017_2830-3980-0022_3729-6852-0038,s3,gated_deflation,3,-14.584113805396191
5142-36377-0017_2830-3980-0022_3729-6852-0038,s1,coarse_to_fine,1,inf
5142-36377-0017_2830-3980-0022_3729-6852-0038,s1,coarse_to_fine,2,-8.663990230744568
5142-36377-0017_2830-3980-0022_3729-6852-0038,s1,coarse_to_fine,3,0.3140136057798568
5142-36377-0017_2830-3980-0022_3729-6852-0038,s2,coarse_to_fine,1,inf
5142-36377-0017_2830-3980-0022_3729-6852-0038,s2,coarse_to_fine,2,nan
5142-36377-0017_2830-3980-0022_3729-6852-0038,s2,coarse_to_fine,3,4.673465667954259
5142-36377-0017_2830-3980-0022_3729-6852-0038,s3,coarse_to_fine,1,35.27534591532049
5142-36377-0017_2830-3980-0022_3729-6852-0038,s3,coarse_to_fine,2,4.2587349284268425
5142-36377-0017_2830-3980-0022_3729-6852-0038,s3,coarse_to_fine,3,-4.817093715332029
7021-79759-0005_4507-16021-0058_260-123288-0005,s1,no_recursion,1,41.65105393946688
7021-79759-0005_4507-16021-0058_260-123288-0005,s1,no_recursion,2,-2.8026719977724426
7021-79759-0005_4507-16021-0058_260-123288-0005,s1,no_recursion,3,-2.4846777536903124
7021-79759-0005_4507-16021-0058_260-123288-0005,s2,no_recursion,1,inf
7021-79759-0005_4507-16021-0058_260-123288-0005,s2,no_recursion,2,nan
7021-79759-0005_4507-16021-0058_260-123288-0005,s2,no_recursion,3,2.122646027882718
7021-79759-0005_4507-16021-0058_260-123288-0005,s3,no_recursion,1,34.6789776123686
7021-79759-0005_4507-16021-0058_260-123288-0005,s3,no_recursion,2,2.952683736222866
7021-79759-0005_4507-16021-0058_260-123288-0005,s3,no_recursion,3,-0.09417952391338648
7021-79759-0005_4507-16021-0058_260-123288-0005,s1,ungated_deflation,1,41.65105393946688
7021-79759-0005_4507-16021-0058_260-123288-0005,s1,ungated_deflation,2,-2.8026719977724426
7021-79759-0005_4507-16021-0058_260-123288-0005,s1,ungated_deflation,3,-2.4846777536903124
