scene,speaker,system,depth,si_sdr
4507-16021-0025_1188-133604-0025_4992-23283-0016,s3,gated_deflation,1,32.435236783503804
4507-16021-0025_1188-133604-0025_4992-23283-0016,s3,gated_deflation,2,nan
4507-16021-0025_1188-133604-0025_4992-23283-0016,s3,gated_deflation,3,-8.630909975338177
4507-16021-0025_1188-133604-0025_4992-23283-0016,s1,coarse_to_fine,1,67.67495552576402
4507-16021-0025_1188-133604-0025_4992-23283-0016,s1,coarse_to_fine,2,11.77385485892971
4507-16021-0025_1188-133604-0025_4992-23283-0016,s1,coarse_to_fine,3,7.389272617381467
4507-16021-0025_1188-133604-0025_4992-23283-0016,s2,coarse_to_fine,1,inf
4507-16021-0025_1188-133604-0025_4992-23283-0016,s2,coarse_to_fine,2,9.262090707295151
4507-16021-0025_1188-133604-0025_4992-23283-0016,s2,coarse_to_fine,3,5.676224108399328
4507-16021-0025_1188-133604-0025_4992-23283-0016,s3,coarse_to_fine,1,30.491565990578167
4507-16021-0025_1188-133604-0025_4992-23283-0016,s3,coarse_to_fine,2,nan
4507-16021-0025_1188-133604-0025_4992-23283-0016,s3,coarse_to_fine,3,-11.158844364621503
5142-36377-0017_2830-3980-0022_3729-6852-0038,s1,no_recursion,1,inf
5142-36377-0017_2830-3980-0022_3729-6852-0038,s1,no_recursion,2,-16.34060845954915
5142-36377-0017_2830-3980-0022_3729-6852-0038,s1,no_recursion,3,1.3663077115023812
5142-36377-0017_2830-3980-0022_3729-6852-0038,s2,no_recursion,1,inf
5142-36377-0017_2830-3980-0022_3729-6852-0038,s2,no_recursion,2,nan
5142-36377-0017_2830-3980-0022_3729-6852-0038,s2,no_recursion,3,-0.9844784247162706
5142-36377-0017_2830-3980-0022_3729-6852-0038,s3,no_recursion,1,36.52373922435359
5142-36377-0017_2830-3980-0022_3729-6852-0038,s3,no_recursion,2,0.5523381703707562
5142-36377-0017_2830-3980-0022_3729-6852-0038,s3,no_recursion,3,-3.1200542362915833
5142-36377-0017_2830-3980-0022_3729-6852-0038,s1,ungated_deflation,1,inf
5142-36377-0017_2830-3980-0022_3729-6852-0038,s1,ungated_deflation,2,-16.34060845954915
5142-36377-0017_2830-3980-0022_3729-6852-0038,s1,ungated_deflation,3,1.3663077115023812
5142-36377-0017_2830-3980-0022_3729-6852-0038,s2,ungated_deflation,1,inf
5142-36377-0017_2830-3980-0022_3729-6852-0038,s2,ungated_deflation,2,nan
5142-36377-0017_2830-3980-0022_3729-6852-0038,s2,ungated_deflation,3,-5.728687460194979
5142-36377-0017_2830-3980-0022_3729-6852-0038,s3,ungated_deflation,1,15.106284630351523
5142-36377-0017_2830-3980-0022_3729-6852-0038,s3,ungated_deflation,2,1.818411511082239
5142-36377-0017_2830-3980-0022_3729-6852-0038,s3,ungated_deflation,3,-2.1144619026995293
5142-36377-0017_2830-3980-0022_3729-6852-0038,s1,gated_deflation,1,inf
5142-36377-0017_2830-3980-0022_3729-6852-0038,s1,gated_deflation,2,-16.34060845954915
5142-36377-0017_2830-3980-0022_3729-6852-0038,s1,gated_deflation,3,1.3663077115023812
5142-36377-0017_2830-3980-0022_3729-6852-0038,s2,gated_deflation,1,inf
5142-36377-0017_2830-3980-0022_3729-6852-0038,s2,gated_deflation,2,nan
5142-36377-0017_2830-3980-0022_3729-6852-0038,s2,gated_deflation,3,-5.728687460194979
5142-36377-0017_2830-3980-0022_3729-6852-0038,s3,gated_deflation,1,15.106284630351523
5142-36377-0017_2830-3980-0022_3729-6852-0038,s3,gated_deflation,2,1.818411511082239
5142-36377-0017_2830-3980-0022_3729-6852-0038,s3,gated_deflation,3,-2.1144619026995293
5142-36377-0017_2830-3980-0022_3729-6852-0038,s1,coarse_to_fine,1,inf
5142-36377-0017_2830-3980-0022_3729-6852-0038,s1,coarse_to_fine,2,-14.2004593253
5142-36377-0017_2830-3980-0022_3729-6852-0038,s1,coarse_to_fine,3,1.1511782165603444
5142-36377-0017_2830-3980-0022_3729-6852-0038,s2,coarse_to_fine,1,inf
5142-36377-0017_2830-3980-0022_3729-6852-0038,s2,coarse_to_fine,2,nan
5142-36377-0017_2830-3980-0022_3729-6852-0038,s2,coarse_to_fine,3,3.683594701568154
5142-36377-0017_2830-3980-0022_3729-6852-0038,s3,coarse_to_fine,1,32.353720524078334
5142-36377-0017_2830-3980-0022_3729-6852-0038,s3,coarse_to_fine,2,0.6178589454513903
5142-36377-0017_2830-3980-0022_3729-6852-0038,s3,coarse_to_fine,3,-1.0451616037639928
7021-79759-0005_4507-16021-0058_260-123288-0005,s1,no_recursion,1,39.078037703402295
7021-79759-0005_4507-16021-0058_260-123288-0005,s1,no_recursion,2,-3.6294435834650827
7021-79759-0005_4507-16021-0058_260-123288-0005,s1,no_recursion,3,-3.2266799895471694
7021-79759-0005_4507-16021-0058_260-123288-0005,s2,no_recursion,1,inf
7021-79759-0005_4507-16021-0058_260-123288-0005,s2,no_recursion,2,nan
7021-79759-0005_4507-16021-0058_260-123288-0005,s2,no_recursion,3,4.363627948612111
7021-79759-0005_4507-16021-0058_260-123288-0005,s3,no_recursion,1,28.254287863421986
7021-79759-0005_4507-16021-0058_260-123288-0005,s3,no_recursion,2,3.154823718527008
7021-79759-0005_4507-16021-0058_260-123288-0005,s3,no_recursion,3,0.4372442404373581
7021-79759-0005_4507-16021-0058_260-123288-0005,s1,ungated_deflation,1,39.078037703402295
7021-79759-0005_4507-16021-0058_260-123288-0005,s1,ungated_deflation,2,-3.6294435834650827
7021-79759-0005_4507-16021-0058_260-123288-0005,s1,ungated_deflation,3,-3.2266799895471694
7021-79759-0005_4507-16021-0058_260-123288-0005,s2,ungated_deflation,1,inf
7021-79759-0005_4507-16021-0058_260-123288-0005,s2,ungated_deflation,2,nan
7021-79759-0005_4507-16021-0058_260-123288-0005,s2,ungated_deflation,3,0.8384745732254046
7021-79759-0005_4507-16021-0058_260-123288-0005,s3,ungated_deflation,1,18.015549619991624
7021-79759-0005_4507-16021-0058_260-123288-0005,s3,ungated_deflation,2,1.5319927475318795
7021-79759-0005_4507-16021-0058_260-123288-0005,s3,ungated_deflation,3,-3.663576342183341
7021-79759-0005_4507-16021-0058_260-123288-0005,s1,gated_deflation,1,39.078037703402295
7021-79759-0005_4507-16021-0058_260-123288-0005,s1,gated_deflation,2,-3.6294435834650827
7021-79759-0005_4507-16021-0058_260-123288-0005,s1,gated_deflation,3,-3.2266799895471694
7021-79759-0005_4507-16021-0058_260-123288-0005,s2,gated_deflation,1,inf
7021-79759-0005_4507-16021-0058_260-123288-0005,s2,gated_deflation,2,nan
7021-79759-0005_4507-16021-0058_260-123288-0005,s2,gated_deflation,3,4.363627948612111
7021-79759-0005_4507-16021-0058_260-123288-0005,s3,gated_deflation,1,28.254287863421986
7021-79759-0005_4507-16021-0058_260-123288-0005,s3,gated_deflation,2,3.154823718527008
7021-79759-0005_4507-16021-0058_260-123288-0005,s3,gated_deflation,3,0.4372442404373581
7021-79759-0005_4507-16021-0058_260-123288-0005,s1,coarse_to_fine,1,38.70849724051695
7021-79759-0005_4507-16021-0058_260-123288-0005,s1,coarse_to_fine,2,-3.2624230396935348
7021-79759-0005_4507-16021-0058_260-123288-0005,s1,coarse_to_fine,3,-2.848779024044668
7021-79759-0005_4507-16021-0058_260-123288-0005,s2,coarse_to_fine,1,inf
7021-79759-0005_4507-16021-0058_260-123288-0005,s2,coarse_to_fine,2,nan
7021-79759-0005_4507-16021-0058_260-123288-0005,s2,coarse_to_fine,3,3.759448039996954
7021-79759-0005_4507-16021-0058_260-123288-0005,s3,coarse_to_fine,1,31.27857030143715
7021-79759-0005_4507-16021-0058_260-123288-0005,s3,coarse_to_fine,2,2.532820162281934
7021-79759-0005_4507-16021-0058_260-123288-0005,s3,coarse_to_fine,3,0.16609968620366994
672-122797-0044_8463-294828-0013_4507-16021-0043,s1,no_recursion,1,inf
672-122797-0044_8463-294828-0013_4507-16021-0043,s1,no_recursion,2,nan
672-122797-0044_8463-294828-0013_4507-16021-0043,s1,no_recursion,3,9.128800043678016
672-122797-0044_8463-294828-0013_4507-16021-0043,s2,no_recursion,1,28.79736084150167
672-122797-0044_8463-294828-0013_4507-16021-0043,s2,no_recursion,2,18.187853963216906
672-122797-0044_8463-294828-0013_4507-16021-0043,s2,no_recursion,3,3.872188360254291
672-122797-0044_8463-294828-0013_4507-16021-0043,s3,no_recursion,1,30.11173641631003
672-122797-0044_8463-294828-0013_4507-16021-0043,s3,no_recursion,2,-17.456215396082563
672-122797-0044_8463-294828-0013_4507-16021-0043,s3,no_recursion,3,-3.9125622745360467
672-122797-0044_8463-294828-0013_4507-16021-0043,s1,ungated_deflation,1,inf
672-122797-0044_8463-294828-0013_4507-16021-0043,s1,ungated_deflation,2,nan
672-122797-0044_8463-294828-0013_4507-16021-0043,s1,ungated_deflation,3,9.128800043678016
672-122797-0044_8463-294828-0013_4507-16021-0043,s2,ungated_deflation,1,30.593407149479802
672-122797-0044_8463-294828-0013_4507-16021-0043,s2,ungated_deflation,2,-27.7823839457643
672-122797-0044_8463-294828-0013_4507-16021-0043,s2,ungated_deflation,3,-11.884516316930183
672-122797-0044_8463-294828-0013_4507-16021-0043,s3,ungated_deflation,1,29.077922646751603
672-122797-0044_8463-294828-0013_4507-16021-0043,s3,ungated_deflation,2,-27.16280466659668
672-122797-0044_8463-294828-0013_4507-16021-0043,s3,ungated_deflation,3,-7.884976198103377
672-122797-0044_8463-294828-0013_4507-16021-0043,s1,gated_deflation,1,inf
672-122797-0044_8463-294828-0013_4507-16021-0043,s1,gated_deflation,2,nan
672-122797-0044_8463-294828-0013_4507-16021-0043,s1,gated_deflation,3,9.128800043678016
672-122797-0044_8463-294828-0013_4507-16021-0043,s2,gated_deflation,1,29.515695983887937
672-122797-0044_8463-294828-0013_4507-16021-0043,s2,gated_deflation,2,19.692531338525523
672-122797-0044_8463-294828-0013_4507-16021-0043,s2,gated_deflation,3,-9.936128779481624
672-122797-0044_8463-294828-0013_4507-16021-0043,s3,gated_deflation,1,29.077922646751603
672-122797-0044_8463-294828-0013_4507-16021-0043,s3,gated_deflation,2,-27.16280466659668
672-122797-0044_8463-294828-0013_4507-16021-0043,s3,gated_deflation,3,-7.884976198103377
672-122797-0044_8463-294828-0013_4507-16021-0043,s1,coarse_to_fine,1,inf
672-122797-0044_8463-294828-0013_4507-16021-0043,s1,coarse_to_fine,2,nan
672-122797-0044_8463-294828-0013_4507-16021-0043,s1,coarse_to_fine,3,8.639446557548675
672-122797-0044_8463-294828-0013_4507-16021-0043,s2,coarse_to_fine,1,30.819098602546543
672-122797-0044_8463-294828-0013_4507-16021-0043,s2,coarse_to_fine,2,20.476718160174443
672-122797-0044_8463-294828-0013_4507-16021-0043,s2,coarse_to_fine,3,2.0046837588028903
672-122797-0044_8463-294828-0013_4507-16021-0043,s3,coarse_to_fine,1,31.977481626992304
672-122797-0044_8463-294828-0013_4507-16021-0043,s3,coarse_to_fine,2,-22.06348536707224
672-122797-0044_8463-294828-0013_4507-16021-0043,s3,coarse_to_fine,3,-3.8254738145550755
6930-81414-0001_1995-1836-0006_121-121726-0014,s1,no_recursion,1,57.75321728503728
6930-81414-0001_1995-1836-0006_121-121726-0014,s1,no_recursion,2,10.312710505192994
6930-81414-0001_1995-1836-0006_121-121726-0014,s1,no_recursion,3,-3.9739458211707883
6930-81414-0001_1995-1836-0006_121-121726-0014,s2,no_recursion,1,inf
6930-81414-0001_1995-1836-0006_121-121726-0014,s2,no_recursion,2,13.242453940661639
6930-81414-0001_1995-1836-0006_121-121726-0014,s2,no_recursion,3,6.132641618796737
6930-81414-0001_1995-1836-0006_121-121726-0014,s3,no_recursion,1,43.74705736148332
6930-81414-0001_1995-1836-0006_121-121726-0014,s3,no_recursion,2,nan
6930-81414-0001_1995-1836-0006_121-121726-0014,s3,no_recursion,3,-0.5651581878308696
6930-81414-0001_1995-1836-0006_121-121726-0014,s1,ungated_deflation,1,54.97390997109495
6930-81414-0001_1995-1836-0006_121-121726-0014,s1,ungated_deflation,2,6.518411364909628
6930-81414-0001_1995-1836-0006_121-121726-0014,s1,ungated_deflation,3,-0.5207445467843084
6930-81414-0001_1995-1836-0006_121-121726-0014,s2,ungated_deflation,1,inf
6930-81414-0001_1995-1836-0006_121-121726-0014,s2,ungated_deflation,2,13.242453940661639
6930-81414-0001_1995-1836-0006_121-121726-0014,s2,ungated_deflation,3,6.132641618796737
6930-81414-0001_1995-1836-0006_121-121726-0014,s3,ungated_deflation,1,32.327531024595935
6930-81414-0001_1995-1836-0006_121-121726-0014,s3,ungated_deflation,2,nan
6930-81414-0001_1995-1836-0006_121-121726-0014,s3,ungated_deflation,3,-7.173724426114978
6930-81414-0001_1995-1836-0006_121-121726-0014,s1,gated_deflation,1,54.782356763009346
6930-81414-0001_1995-1836-0006_121-121726-0014,s1,gated_deflation,2,6.476530451859171
6930-81414-0001_1995-1836-0006_121-121726-0014,s1,gated_deflation,3,-1.4559089765829971
6930-81414-0001_1995-1836-0006_121-121726-0014,s2,gated_deflation,1,inf
6930-81414-0001_1995-1836-0006_121-121726-0014,s2,gated_deflation,2,13.242453940661639
6930-81414-0001_1995-1836-0006_121-121726-0014,s2,gated_deflation,3,6.132641618796737
6930-81414-0001_1995-1836-0006_121-121726-0014,s3,gated_deflation,1,32.327531024595935
6930-81414-0001_1995-1836-0006_121-121726-0014,s3,gated_deflation,2,nan
6930-81414-0001_1995-1836-0006_121-121726-0014,s3,gated_deflation,3,-7.173724426114978
6930-81414-0001_1995-1836-0006_121-121726-0014,s1,coarse_to_fine,1,58.02423268524973
6930-81414-0001_1995-1836-0006_121-121726-0014,s1,coarse_to_fine,2,10.82912811098041
6930-81414-0001_1995-1836-0006_121-121726-0014,s1,coarse_to_fine,3,-8.797511814116545
6930-81414-0001_1995-1836-0006_121-121726-0014,s2,coarse_to_fine,1,inf
6930-81414-0001_1995-1836-0006_121-121726-0014,s2,coarse_to_fine,2,13.633826299299551
6930-81414-0001_1995-1836-0006_121-121726-0014,s2,coarse_to_fine,3,6.08271212983134
6930-81414-0001_1995-1836-0006_121-121726-0014,s3,coarse_to_fine,1,36.72933323328476
6930-81414-0001_1995-1836-0006_121-121726-0014,s3,coarse_to_fine,2,nan
6930-81414-0001_1995-1836-0006_121-121726-0014,s3,coarse_to_fine,3,-12.95805797519954
8555-284449-0002_1995-1837-0004_1089-134686-0002,s1,no_recursion,1,28.85110539677111
8555-284449-0002_1995-1837-0004_1089-134686-0002,s1,no_recursion,2,24.924396919830414
8555-284449-0002_1995-1837-0004_1089-134686-0002,s1,no_recursion,3,-6.757448065792343
8555-284449-0002_1995-1837-0004_1089-134686-0002,s2,no_recursion,1,inf
8555-284449-0002_1995-1837-0004_1089-134686-0002,s2,no_recursion,2,nan
8555-284449-0002_1995-1837-0004_1089-134686-0002,s2,no_recursion,3,7.7073261047551
8555-284449-0002_1995-1837-0004_1089-134686-0002,s3,no_recursion,1,30.15177201575085
8555-284449-0002_1995-1837-0004_1089-134686-0002,s3,no_recursion,2,-7.9513033050215975
8555-284449-0002_1995-1837-0004_1089-134686-0002,s3,no_recursion,3,7.15585096236714
8555-284449-0002_1995-1837-0004_1089-134686-0002,s1,ungated_deflation,1,27.015415317927854
8555-284449-0002_1995-1837-0004_1089-134686-0002,s1,ungated_deflation,2,17.218765321111896
