diarization,dilate_ms,scene,speaker,system,m,si_sdr,si_sdr_pooled,level_error_db,deflation_index,n_accepted_before,refine_rounds,cluster,n_clusters
real,0.0,long_00001_3729-2300-8230,s2,gated_deflation,3,-5.683793327312937,4.703359635664176,9.471295635485465,0,0,0,SPEAKER_00,3
real,0.0,long_00001_3729-2300-8230,s3,gated_deflation,3,-18.67447523488312,-2.5374124990628015,21.822743274330797,2,2,0,SPEAKER_01,3
real,0.0,long_00001_3729-2300-8230,s1,coarse_to_fine,3,-22.25733768872617,3.0662392500023614,7.962282040045501,,,0,SPEAKER_02,3
real,0.0,long_00001_3729-2300-8230,s2,coarse_to_fine,3,-5.683793327312937,4.703359635664176,9.471295635485465,,,0,SPEAKER_00,3
real,0.0,long_00001_3729-2300-8230,s3,coarse_to_fine,3,-27.359137037299735,-1.6915376515909897,8.66535694252665,,,0,SPEAKER_01,3
oracle,0.0,long_00002_4077-237-2300,s1,no_recursion,3,-17.993888147245688,6.0983439337307965,7.456279635138453,,,0,s1,3
oracle,0.0,long_00002_4077-237-2300,s2,no_recursion,3,-2.5320856098107365,4.46667510662777,10.752063536579646,,,0,s2,3
oracle,0.0,long_00002_4077-237-2300,s3,no_recursion,3,-9.172493467616219,11.191401020487508,11.52541891212719,,,0,s3,3
oracle,0.0,long_00002_4077-237-2300,s1,ungated_deflation,3,-17.993888147245688,6.0983439337307965,7.456279635138453,0,0,0,s1,3
oracle,0.0,long_00002_4077-237-2300,s2,ungated_deflation,3,-4.005039146735668,0.8725969686748143,15.535617178738052,1,1,0,s2,3
oracle,0.0,long_00002_4077-237-2300,s3,ungated_deflation,3,-7.374620970134394,6.251925295087137,17.521305565171176,2,2,0,s3,3
oracle,0.0,long_00002_4077-237-2300,s1,gated_deflation,3,-17.993888147245688,6.0983439337307965,7.456279635138453,0,0,0,s1,3
oracle,0.0,long_00002_4077-237-2300,s2,gated_deflation,3,-4.005039146735668,0.8725969686748143,15.535617178738052,1,1,0,s2,3
oracle,0.0,long_00002_4077-237-2300,s3,gated_deflation,3,-7.374620970134394,6.251925295087137,17.521305565171176,2,2,0,s3,3
oracle,0.0,long_00002_4077-237-2300,s1,coarse_to_fine,3,-17.993888147245688,6.0983439337307965,7.456279635138453,,,0,s1,3
oracle,0.0,long_00002_4077-237-2300,s2,coarse_to_fine,3,-2.5320856098107365,4.46667510662777,10.752063536579646,,,0,s2,3
oracle,0.0,long_00002_4077-237-2300,s3,coarse_to_fine,3,-9.172493467616219,11.191401020487508,11.52541891212719,,,0,s3,3
real,0.0,long_00002_4077-237-2300,s1,no_recursion,3,-28.34353281153893,3.619540807775296,5.4547822872269744,,,0,SPEAKER_01,3
real,0.0,long_00002_4077-237-2300,s2,no_recursion,3,-3.7882086936560295,2.683287038121021,9.68006477506051,,,0,SPEAKER_00,3
real,0.0,long_00002_4077-237-2300,s3,no_recursion,3,-18.88381122087512,2.7591209734805595,6.68447502956632,,,0,SPEAKER_02,3
real,0.0,long_00002_4077-237-2300,s1,ungated_deflation,3,-9.005693462731356,4.097451638865362,17.98653382338951,2,2,0,SPEAKER_01,3
real,0.0,long_00002_4077-237-2300,s2,ungated_deflation,3,-4.360506027461458,1.17804986679836,11.537326200659496,1,1,0,SPEAKER_00,3
real,0.0,long_00002_4077-237-2300,s3,ungated_deflation,3,-18.88381122087512,2.7591209734805595,6.68447502956632,0,0,0,SPEAKER_02,3
real,0.0,long_00002_4077-237-2300,s1,gated_deflation,3,-9.005693462731356,4.097451638865362,17.98653382338951,2,2,0,SPEAKER_01,3
real,0.0,long_00002_4077-237-2300,s2,gated_deflation,3,-4.360506027461458,1.17804986679836,11.537326200659496,1,1,0,SPEAKER_00,3
real,0.0,long_00002_4077-237-2300,s3,gated_deflation,3,-18.88381122087512,2.7591209734805595,6.68447502956632,0,0,0,SPEAKER_02,3
real,0.0,long_00002_4077-237-2300,s1,coarse_to_fine,3,-28.34353281153893,3.619540807775296,5.4547822872269744,,,0,SPEAKER_01,3
real,0.0,long_00002_4077-237-2300,s2,coarse_to_fine,3,-3.7882086936560295,2.683287038121021,9.68006477506051,,,0,SPEAKER_00,3
real,0.0,long_00002_4077-237-2300,s3,coarse_to_fine,3,-18.88381122087512,2.7591209734805595,6.68447502956632,,,0,SPEAKER_02,3
oracle,0.0,long_00003_4507-7176-8455,s1,no_recursion,3,-22.283439560828317,8.505410146203229,6.989282106769289,,,0,s1,3
oracle,0.0,long_00003_4507-7176-8455,s2,no_recursion,3,-4.559610727403976,4.4483768015925005,11.789912403038048,,,0,s2,3
oracle,0.0,long_00003_4507-7176-8455,s3,no_recursion,3,-17.875296960723514,5.624980053361794,12.592065650588928,,,0,s3,3
oracle,0.0,long_00003_4507-7176-8455,s1,ungated_deflation,3,-22.283439560828317,8.505410146203229,6.989282106769289,0,0,0,s1,3
oracle,0.0,long_00003_4507-7176-8455,s2,ungated_deflation,3,-4.4426009162134505,4.451512545290741,12.180174415728104,1,1,0,s2,3
oracle,0.0,long_00003_4507-7176-8455,s3,ungated_deflation,3,-11.031410029707578,3.6953892879385055,24.717635494477783,2,2,0,s3,3
oracle,0.0,long_00003_4507-7176-8455,s1,gated_deflation,3,-22.283439560828317,8.505410146203229,6.989282106769289,0,0,0,s1,3
oracle,0.0,long_00003_4507-7176-8455,s2,gated_deflation,3,-4.4426009162134505,4.451512545290741,12.180174415728104,1,1,0,s2,3
oracle,0.0,long_00003_4507-7176-8455,s3,gated_deflation,3,-11.031410029707578,3.6953892879385055,24.717635494477783,2,2,0,s3,3
oracle,0.0,long_00003_4507-7176-8455,s1,coarse_to_fine,3,-22.283439560828317,8.505410146203229,6.989282106769289,,,0,s1,3
oracle,0.0,long_00003_4507-7176-8455,s2,coarse_to_fine,3,-4.559610727403976,4.4483768015925005,11.789912403038048,,,0,s2,3
oracle,0.0,long_00003_4507-7176-8455,s3,coarse_to_fine,3,-17.875296960723514,5.624980053361794,12.592065650588928,,,0,s3,3
real,0.0,long_00003_4507-7176-8455,s1,no_recursion,3,-15.440627618064669,4.264212516793836,1.7593854065407792,,,0,SPEAKER_01,3
real,0.0,long_00003_4507-7176-8455,s2,no_recursion,3,-6.130845743713685,2.47083175814688,10.208967224446344,,,0,SPEAKER_02,3
real,0.0,long_00003_4507-7176-8455,s3,no_recursion,3,-20.17812371849324,3.670811923695125,11.97734336312596,,,0,SPEAKER_00,3
real,0.0,long_00003_4507-7176-8455,s1,ungated_deflation,3,-24.704525239798393,4.424031067859842,6.783570103179773,1,1,0,SPEAKER_01,3
real,0.0,long_00003_4507-7176-8455,s2,ungated_deflation,3,-5.666567061795402,0.15156512249667195,22.806487944426458,2,2,0,SPEAKER_02,3
real,0.0,long_00003_4507-7176-8455,s3,ungated_deflation,3,-20.17812371849324,3.670811923695125,11.97734336312596,0,0,0,SPEAKER_00,3
real,0.0,long_00003_4507-7176-8455,s1,gated_deflation,3,-24.704525239798393,4.424031067859842,6.783570103179773,1,1,0,SPEAKER_01,3
real,0.0,long_00003_4507-7176-8455,s2,gated_deflation,3,-5.666567061795402,0.15156512249667195,22.806487944426458,2,2,0,SPEAKER_02,3
real,0.0,long_00003_4507-7176-8455,s3,gated_deflation,3,-20.17812371849324,3.670811923695125,11.97734336312596,0,0,0,SPEAKER_00,3
real,0.0,long_00003_4507-7176-8455,s1,coarse_to_fine,3,-15.440627618064669,4.264212516793836,1.7593854065407792,,,0,SPEAKER_01,3
real,0.0,long_00003_4507-7176-8455,s2,coarse_to_fine,3,-6.130845743713685,2.47083175814688,10.208967224446344,,,0,SPEAKER_02,3
real,0.0,long_00003_4507-7176-8455,s3,coarse_to_fine,3,-20.17812371849324,3.670811923695125,11.97734336312596,,,0,SPEAKER_00,3
oracle,0.0,long_00004_5639-61-1089,s1,no_recursion,3,-17.516973273330457,0.4927843030661062,9.631616095761624,,,0,s1,3
oracle,0.0,long_00004_5639-61-1089,s2,no_recursion,3,-8.920435301904817,2.9376491537124028,4.734510948881108,,,0,s2,3
oracle,0.0,long_00004_5639-61-1089,s3,no_recursion,3,-22.030594169812986,2.595942622096166,9.262520957685322,,,0,s3,3
oracle,0.0,long_00004_5639-61-1089,s1,ungated_deflation,3,-17.516973273330457,0.4927843030661062,9.631616095761624,0,0,0,s1,3
oracle,0.0,long_00004_5639-61-1089,s2,ungated_deflation,3,-6.790918997814836,2.814993783276865,8.291195104983851,1,1,0,s2,3
oracle,0.0,long_00004_5639-61-1089,s3,ungated_deflation,3,-12.137103689610624,1.4274222921550304,20.038580081656953,2,2,0,s3,3
oracle,0.0,long_00004_5639-61-1089,s1,gated_deflation,3,-17.516973273330457,0.4927843030661062,9.631616095761624,0,0,0,s1,3
oracle,0.0,long_00004_5639-61-1089,s2,gated_deflation,3,-6.790918997814836,2.814993783276865,8.291195104983851,1,1,0,s2,3
oracle,0.0,long_00004_5639-61-1089,s3,gated_deflation,3,-12.137103689610624,1.4274222921550304,20.038580081656953,2,2,0,s3,3
oracle,0.0,long_00004_5639-61-1089,s1,coarse_to_fine,3,-17.516973273330457,0.4927843030661062,9.631616095761624,,,0,s1,3
oracle,0.0,long_00004_5639-61-1089,s2,coarse_to_fine,3,-8.920435301904817,2.9376491537124028,4.734510948881108,,,0,s2,3
oracle,0.0,long_00004_5639-61-1089,s3,coarse_to_fine,3,-22.030594169812986,2.595942622096166,9.262520957685322,,,0,s3,3
real,0.0,long_00004_5639-61-1089,s1,no_recursion,3,-12.658259968688544,-1.2759425573309353,5.8098440187699305,,,0,SPEAKER_00,3
real,0.0,long_00004_5639-61-1089,s2,no_recursion,3,-13.517712735462059,-1.5008745786124809,2.4909758915084774,,,0,SPEAKER_02,3
real,0.0,long_00004_5639-61-1089,s3,no_recursion,3,-40.33481816140121,-0.48840115903299397,6.492782258306738,,,0,SPEAKER_01,3
real,0.0,long_00004_5639-61-1089,s1,ungated_deflation,3,-12.658259968688544,-1.2759425573309353,5.8098440187699305,0,0,0,SPEAKER_00,3
real,0.0,long_00004_5639-61-1089,s2,ungated_deflation,3,-7.409535245429132,-0.6336045512941482,13.613205260221271,2,2,0,SPEAKER_02,3
real,0.0,long_00004_5639-61-1089,s3,ungated_deflation,3,-36.32082352975352,-0.39199457573717034,6.307610804110456,1,1,0,SPEAKER_01,3
real,0.0,long_00004_5639-61-1089,s1,gated_deflation,3,-12.658259968688544,-1.2759425573309353,5.8098440187699305,0,0,0,SPEAKER_00,3
