scene,diarization,dilate_ms,m,der,miss_rate,false_alarm_rate,confusion_rate,overlap_recall,n_ref,n_pred,n_missed_speakers,n_spurious_clusters,total_speech,mask_overlap_recall,mask_overlap_false_alarm
long_00011_5683-7176-4507,real,0.0,3,0.0884635507499128,0.08826735263341472,0.0,0.00019619811649808163,0.7870909853640347,3,3,0,0,1376160,0.7870909853640347,0.0
long_00011_5683-7176-4507,real_index_order,0.0,3,0.0884635507499128,0.08826735263341472,0.0,0.00019619811649808163,0.7870909853640347,3,3,0,0,1376160,0.7870909853640347,0.0
long_00012_1284-2300-3570,oracle,0.0,3,0.0,0.0,0.0,0.0,1.0,3,3,0,0,1291760,1.0,0.0
long_00012_1284-2300-3570,real,0.0,3,0.05712361429367684,0.05712361429367684,0.0,0.0,0.8588585792756727,3,3,0,0,1291760,0.8588585792756727,0.0
long_00012_1284-2300-3570,real_index_order,0.0,3,0.05712361429367684,0.05712361429367684,0.0,0.0,0.8588585792756727,3,3,0,0,1291760,0.8588585792756727,0.0
long_00013_4970-121-1320,oracle,0.0,3,0.0,0.0,0.0,0.0,1.0,3,3,0,0,1392080,1.0,0.0
long_00013_4970-121-1320,real,0.0,3,0.09927590368369633,0.09888799494281938,0.0,0.0003879087408769611,0.8283609352167559,3,3,0,0,1392080,0.8283609352167559,0.0
long_00013_4970-121-1320,real_index_order,0.0,3,0.09927590368369633,0.09888799494281938,0.0,0.0003879087408769611,0.8283609352167559,3,3,0,0,1392080,0.8283609352167559,0.0
long_00014_6829-2094-7021,oracle,0.0,3,0.0,0.0,0.0,0.0,1.0,3,3,0,0,1440840,1.0,0.0
long_00014_6829-2094-7021,real,0.0,3,0.09049929207962022,0.09012451070209045,0.0,0.0003747813775297743,0.7637296378301439,3,3,0,0,1440840,0.7637296378301439,0.0
long_00014_6829-2094-7021,real_index_order,0.0,3,0.09049929207962022,0.09012451070209045,0.0,0.0003747813775297743,0.7637296378301439,3,3,0,0,1440840,0.7637296378301439,0.0
long_00015_4992-1089-4970,oracle,0.0,3,0.0,0.0,0.0,0.0,1.0,3,3,0,0,1364920,1.0,0.0
long_00015_4992-1089-4970,real,0.0,3,0.12170676669694927,0.12170676669694927,0.0,0.0,0.7633051595225933,3,3,0,0,1364920,0.7633051595225933,0.0
long_00015_4992-1089-4970,real_index_order,0.0,3,0.12170676669694927,0.12170676669694927,0.0,0.0,0.7633051595225933,3,3,0,0,1364920,0.7633051595225933,0.0
long_00016_4970-5639-1221,oracle,0.0,3,0.0,0.0,0.0,0.0,1.0,3,3,0,0,1300960,1.0,0.0
long_00016_4970-5639-1221,real,0.0,3,0.11183664370926086,0.11183664370926086,0.0,0.0,0.6910306419776294,3,3,0,0,1300960,0.6910306419776294,0.0
long_00016_4970-5639-1221,real_index_order,0.0,3,0.11183664370926086,0.11183664370926086,0.0,0.0,0.6910306419776294,3,3,0,0,1300960,0.6910306419776294,0.0
long_00017_4507-908-6829,oracle,0.0,3,0.0,0.0,0.0,0.0,1.0,3,3,0,0,1290960,1.0,0.0
long_00017_4507-908-6829,real,0.0,3,0.11457752370329058,0.11457752370329058,0.0,0.0,0.6620439838694552,3,3,0,0,1290960,0.6620439838694552,0.0
long_00017_4507-908-6829,real_index_order,0.0,3,0.11457752370329058,0.11457752370329058,0.0,0.0,0.6620439838694552,3,3,0,0,1290960,0.6620439838694552,0.0
long_00018_4970-1089-3729,oracle,0.0,3,0.0,0.0,0.0,0.0,1.0,3,3,0,0,1322321,1.0,0.0
long_00018_4970-1089-3729,real,0.0,3,0.11883347538154503,0.11464765363327059,0.0,0.004185821748274436,0.8457371643900141,3,3,0,0,1322321,0.8457371643900141,0.0
long_00018_4970-1089-3729,real_index_order,0.0,3,0.11883347538154503,0.11464765363327059,0.0,0.004185821748274436,0.8457371643900141,3,3,0,0,1322321,0.8457371643900141,0.0
long_00019_3729-5639-3570,oracle,0.0,3,0.0,0.0,0.0,0.0,1.0,3,3,0,0,1439960,1.0,0.0
