diarization,dilate_ms,scene,speaker,system,m,si_sdr,deflation_index,n_accepted_before,refine_rounds,cluster,n_clusters
real,0.0,long_00001_3729-2300-8230,s3,gated_deflation,3,-18.67447523488312,2,2,0,SPEAKER_01,3
real,0.0,long_00001_3729-2300-8230,s1,coarse_to_fine,3,-28.402101052506552,,,2,SPEAKER_02,3
real,0.0,long_00001_3729-2300-8230,s2,coarse_to_fine,3,-5.673658669192357,,,2,SPEAKER_00,3
real,0.0,long_00001_3729-2300-8230,s3,coarse_to_fine,3,-27.359137037299735,,,2,SPEAKER_01,3
real_index_order,0.0,long_00001_3729-2300-8230,s1,no_recursion,3,-22.25733768872617,,,0,SPEAKER_02,3
real_index_order,0.0,long_00001_3729-2300-8230,s2,no_recursion,3,-5.683793327312937,,,0,SPEAKER_00,3
real_index_order,0.0,long_00001_3729-2300-8230,s3,no_recursion,3,-27.359137037299735,,,0,SPEAKER_01,3
real_index_order,0.0,long_00001_3729-2300-8230,s1,ungated_deflation,3,-22.25733768872617,0,0,0,SPEAKER_02,3
real_index_order,0.0,long_00001_3729-2300-8230,s2,ungated_deflation,3,-5.599555590117021,1,1,0,SPEAKER_00,3
real_index_order,0.0,long_00001_3729-2300-8230,s3,ungated_deflation,3,-19.41221524262896,2,2,0,SPEAKER_01,3
real_index_order,0.0,long_00001_3729-2300-8230,s1,gated_deflation,3,-22.25733768872617,0,0,0,SPEAKER_02,3
real_index_order,0.0,long_00001_3729-2300-8230,s2,gated_deflation,3,-5.599555590117021,1,1,0,SPEAKER_00,3
real_index_order,0.0,long_00001_3729-2300-8230,s3,gated_deflation,3,-19.41221524262896,2,2,0,SPEAKER_01,3
real_index_order,0.0,long_00001_3729-2300-8230,s1,coarse_to_fine,3,-28.402101052506552,,,2,SPEAKER_02,3
real_index_order,0.0,long_00001_3729-2300-8230,s2,coarse_to_fine,3,-5.673658669192357,,,2,SPEAKER_00,3
real_index_order,0.0,long_00001_3729-2300-8230,s3,coarse_to_fine,3,-27.359137037299735,,,2,SPEAKER_01,3
oracle,0.0,long_00002_4077-237-2300,s1,no_recursion,3,-17.993888147245688,,,0,s1,3
oracle,0.0,long_00002_4077-237-2300,s2,no_recursion,3,-2.5320856098107365,,,0,s2,3
oracle,0.0,long_00002_4077-237-2300,s3,no_recursion,3,-9.172493467616219,,,0,s3,3
oracle,0.0,long_00002_4077-237-2300,s1,ungated_deflation,3,-17.993888147245688,0,0,0,s1,3
oracle,0.0,long_00002_4077-237-2300,s2,ungated_deflation,3,-4.005039146735668,1,1,0,s2,3
oracle,0.0,long_00002_4077-237-2300,s3,ungated_deflation,3,-7.374620970134394,2,2,0,s3,3
oracle,0.0,long_00002_4077-237-2300,s1,gated_deflation,3,-17.993888147245688,0,0,0,s1,3
oracle,0.0,long_00002_4077-237-2300,s2,gated_deflation,3,-4.005039146735668,1,1,0,s2,3
oracle,0.0,long_00002_4077-237-2300,s3,gated_deflation,3,-7.374620970134394,2,2,0,s3,3
oracle,0.0,long_00002_4077-237-2300,s1,coarse_to_fine,3,-21.384809806874756,,,2,s1,3
oracle,0.0,long_00002_4077-237-2300,s2,coarse_to_fine,3,-7.804215638362822,,,2,s2,3
oracle,0.0,long_00002_4077-237-2300,s3,coarse_to_fine,3,-10.027845484589433,,,2,s3,3
real,0.0,long_00002_4077-237-2300,s1,no_recursion,3,-28.34353281153893,,,0,SPEAKER_01,3
real,0.0,long_00002_4077-237-2300,s2,no_recursion,3,-3.7882086936560295,,,0,SPEAKER_00,3
real,0.0,long_00002_4077-237-2300,s3,no_recursion,3,-18.88381122087512,,,0,SPEAKER_02,3
real,0.0,long_00002_4077-237-2300,s1,ungated_deflation,3,-9.005693462731356,2,2,0,SPEAKER_01,3
real,0.0,long_00002_4077-237-2300,s2,ungated_deflation,3,-4.360506027461458,1,1,0,SPEAKER_00,3
real,0.0,long_00002_4077-237-2300,s3,ungated_deflation,3,-18.88381122087512,0,0,0,SPEAKER_02,3
real,0.0,long_00002_4077-237-2300,s1,gated_deflation,3,-9.005693462731356,2,2,0,SPEAKER_01,3
real,0.0,long_00002_4077-237-2300,s2,gated_deflation,3,-4.360506027461458,1,1,0,SPEAKER_00,3
real,0.0,long_00002_4077-237-2300,s3,gated_deflation,3,-18.88381122087512,0,0,0,SPEAKER_02,3
real,0.0,long_00002_4077-237-2300,s1,coarse_to_fine,3,-37.1067897000916,,,2,SPEAKER_01,3
real,0.0,long_00002_4077-237-2300,s2,coarse_to_fine,3,-8.261978395662641,,,2,SPEAKER_00,3
real,0.0,long_00002_4077-237-2300,s3,coarse_to_fine,3,-18.7868802663506,,,2,SPEAKER_02,3
real_index_order,0.0,long_00002_4077-237-2300,s1,no_recursion,3,-28.34353281153893,,,0,SPEAKER_01,3
real_index_order,0.0,long_00002_4077-237-2300,s2,no_recursion,3,-3.7882086936560295,,,0,SPEAKER_00,3
real_index_order,0.0,long_00002_4077-237-2300,s3,no_recursion,3,-18.88381122087512,,,0,SPEAKER_02,3
real_index_order,0.0,long_00002_4077-237-2300,s1,ungated_deflation,3,-28.34353281153893,0,0,0,SPEAKER_01,3
real_index_order,0.0,long_00002_4077-237-2300,s2,ungated_deflation,3,-5.005479423888093,1,1,0,SPEAKER_00,3
real_index_order,0.0,long_00002_4077-237-2300,s3,ungated_deflation,3,-11.11001170314882,2,2,0,SPEAKER_02,3
real_index_order,0.0,long_00002_4077-237-2300,s1,gated_deflation,3,-28.34353281153893,0,0,0,SPEAKER_01,3
real_index_order,0.0,long_00002_4077-237-2300,s2,gated_deflation,3,-5.005479423888093,1,1,0,SPEAKER_00,3
real_index_order,0.0,long_00002_4077-237-2300,s3,gated_deflation,3,-11.11001170314882,2,2,0,SPEAKER_02,3
real_index_order,0.0,long_00002_4077-237-2300,s1,coarse_to_fine,3,-37.1067897000916,,,2,SPEAKER_01,3
real_index_order,0.0,long_00002_4077-237-2300,s2,coarse_to_fine,3,-8.261978395662641,,,2,SPEAKER_00,3
real_index_order,0.0,long_00002_4077-237-2300,s3,coarse_to_fine,3,-18.7868802663506,,,2,SPEAKER_02,3
