diarization,dilate_ms,scene,speaker,system,m,depth,si_sdr,deflation_index,n_accepted_before,refine_rounds,cluster,n_clusters
real,0.0,long_00011_5683-7176-4507,s1,ungated_deflation,3,1,45.74997307481837,1,1,0,SPEAKER_00,3
real,0.0,long_00011_5683-7176-4507,s1,ungated_deflation,3,2,0.9004216925114111,1,1,0,SPEAKER_00,3
real,0.0,long_00011_5683-7176-4507,s2,ungated_deflation,3,1,51.79691811504311,2,2,0,SPEAKER_01,3
real,0.0,long_00011_5683-7176-4507,s2,ungated_deflation,3,2,-1.611448437269495,2,2,0,SPEAKER_01,3
real,0.0,long_00011_5683-7176-4507,s3,ungated_deflation,3,1,42.730416589075375,0,0,0,SPEAKER_02,3
real,0.0,long_00011_5683-7176-4507,s3,ungated_deflation,3,2,0.5721305595089404,0,0,0,SPEAKER_02,3
real,0.0,long_00011_5683-7176-4507,s1,gated_deflation,3,1,45.74997307481837,1,1,0,SPEAKER_00,3
real,0.0,long_00011_5683-7176-4507,s1,gated_deflation,3,2,0.9004216925114111,1,1,0,SPEAKER_00,3
real,0.0,long_00011_5683-7176-4507,s2,gated_deflation,3,1,51.79691811504311,2,2,0,SPEAKER_01,3
real,0.0,long_00011_5683-7176-4507,s2,gated_deflation,3,2,-1.611448437269495,2,2,0,SPEAKER_01,3
real,0.0,long_00011_5683-7176-4507,s3,gated_deflation,3,1,42.730416589075375,0,0,0,SPEAKER_02,3
real,0.0,long_00011_5683-7176-4507,s3,gated_deflation,3,2,0.5721305595089404,0,0,0,SPEAKER_02,3
real,0.0,long_00011_5683-7176-4507,s1,coarse_to_fine,3,1,45.74997307481837,,,2,SPEAKER_00,3
real,0.0,long_00011_5683-7176-4507,s1,coarse_to_fine,3,2,-3.3896011850146026,,,2,SPEAKER_00,3
real,0.0,long_00011_5683-7176-4507,s2,coarse_to_fine,3,1,51.79691811504311,,,2,SPEAKER_01,3
real,0.0,long_00011_5683-7176-4507,s2,coarse_to_fine,3,2,0.9038943355008422,,,2,SPEAKER_01,3
real,0.0,long_00011_5683-7176-4507,s3,coarse_to_fine,3,1,42.730416589075375,,,2,SPEAKER_02,3
real,0.0,long_00011_5683-7176-4507,s3,coarse_to_fine,3,2,0.5721305595089404,,,2,SPEAKER_02,3
oracle,0.0,long_00012_1284-2300-3570,s1,no_recursion,3,1,43.564513956661,,,0,s1,3
oracle,0.0,long_00012_1284-2300-3570,s1,no_recursion,3,2,-7.164388462845252,,,0,s1,3
oracle,0.0,long_00012_1284-2300-3570,s2,no_recursion,3,1,40.986403983126436,,,0,s2,3
oracle,0.0,long_00012_1284-2300-3570,s2,no_recursion,3,2,3.557222056920643,,,0,s2,3
oracle,0.0,long_00012_1284-2300-3570,s3,no_recursion,3,1,48.72599105931289,,,0,s3,3
oracle,0.0,long_00012_1284-2300-3570,s3,no_recursion,3,2,-1.3877983972088748,,,0,s3,3
oracle,0.0,long_00012_1284-2300-3570,s1,ungated_deflation,3,1,43.564513956661,0,0,0,s1,3
oracle,0.0,long_00012_1284-2300-3570,s1,ungated_deflation,3,2,-7.164388462845252,0,0,0,s1,3
oracle,0.0,long_00012_1284-2300-3570,s2,ungated_deflation,3,1,37.29695996510185,1,1,0,s2,3
oracle,0.0,long_00012_1284-2300-3570,s2,ungated_deflation,3,2,0.23946451978529362,1,1,0,s2,3
oracle,0.0,long_00012_1284-2300-3570,s3,ungated_deflation,3,1,47.6587680957416,2,2,0,s3,3
oracle,0.0,long_00012_1284-2300-3570,s3,ungated_deflation,3,2,-3.8020423360432436,2,2,0,s3,3
oracle,0.0,long_00012_1284-2300-3570,s1,gated_deflation,3,1,43.564513956661,0,0,0,s1,3
oracle,0.0,long_00012_1284-2300-3570,s1,gated_deflation,3,2,-7.164388462845252,0,0,0,s1,3
oracle,0.0,long_00012_1284-2300-3570,s2,gated_deflation,3,1,37.29695996510185,1,1,0,s2,3
oracle,0.0,long_00012_1284-2300-3570,s2,gated_deflation,3,2,0.23946451978529362,1,1,0,s2,3
oracle,0.0,long_00012_1284-2300-3570,s3,gated_deflation,3,1,47.6587680957416,2,2,0,s3,3
oracle,0.0,long_00012_1284-2300-3570,s3,gated_deflation,3,2,-3.8020423360432436,2,2,0,s3,3
oracle,0.0,long_00012_1284-2300-3570,s1,coarse_to_fine,3,1,43.564513956661,,,2,s1,3
oracle,0.0,long_00012_1284-2300-3570,s1,coarse_to_fine,3,2,-7.164388462845252,,,2,s1,3
oracle,0.0,long_00012_1284-2300-3570,s2,coarse_to_fine,3,1,40.986403983126436,,,2,s2,3
oracle,0.0,long_00012_1284-2300-3570,s2,coarse_to_fine,3,2,3.557222056920643,,,2,s2,3
oracle,0.0,long_00012_1284-2300-3570,s3,coarse_to_fine,3,1,48.72599105931289,,,2,s3,3
oracle,0.0,long_00012_1284-2300-3570,s3,coarse_to_fine,3,2,-1.3877983972088748,,,2,s3,3
real,0.0,long_00012_1284-2300-3570,s1,no_recursion,3,1,38.268129981054976,,,0,SPEAKER_00,3
real,0.0,long_00012_1284-2300-3570,s1,no_recursion,3,2,-6.7949012873851125,,,0,SPEAKER_00,3
real,0.0,long_00012_1284-2300-3570,s2,no_recursion,3,1,98.43370848699449,,,0,SPEAKER_02,3
real,0.0,long_00012_1284-2300-3570,s2,no_recursion,3,2,3.1194069518975613,,,0,SPEAKER_02,3
real,0.0,long_00012_1284-2300-3570,s3,no_recursion,3,1,53.84114597620037,,,0,SPEAKER_01,3
real,0.0,long_00012_1284-2300-3570,s3,no_recursion,3,2,-3.105183955179976,,,0,SPEAKER_01,3
real,0.0,long_00012_1284-2300-3570,s1,ungated_deflation,3,1,38.268129981054976,0,0,0,SPEAKER_00,3
real,0.0,long_00012_1284-2300-3570,s1,ungated_deflation,3,2,-6.7949012873851125,0,0,0,SPEAKER_00,3
real,0.0,long_00012_1284-2300-3570,s2,ungated_deflation,3,1,98.43370848699449,1,1,0,SPEAKER_02,3
real,0.0,long_00012_1284-2300-3570,s2,ungated_deflation,3,2,0.23718571000184097,1,1,0,SPEAKER_02,3
real,0.0,long_00012_1284-2300-3570,s3,ungated_deflation,3,1,53.84114597620037,2,2,0,SPEAKER_01,3
real,0.0,long_00012_1284-2300-3570,s3,ungated_deflation,3,2,-6.623494739787708,2,2,0,SPEAKER_01,3
real,0.0,long_00012_1284-2300-3570,s1,gated_deflation,3,1,38.268129981054976,0,0,0,SPEAKER_00,3
real,0.0,long_00012_1284-2300-3570,s1,gated_deflation,3,2,-6.7949012873851125,0,0,0,SPEAKER_00,3
real,0.0,long_00012_1284-2300-3570,s2,gated_deflation,3,1,98.43370848699449,1,1,0,SPEAKER_02,3
real,0.0,long_00012_1284-2300-3570,s2,gated_deflation,3,2,0.23718571000184097,1,1,0,SPEAKER_02,3
real,0.0,long_00012_1284-2300-3570,s3,gated_deflation,3,1,53.84114597620037,2,2,0,SPEAKER_01,3
real,0.0,long_00012_1284-2300-3570,s3,gated_deflation,3,2,-6.623494739787708,2,2,0,SPEAKER_01,3
real,0.0,long_00012_1284-2300-3570,s1,coarse_to_fine,3,1,38.268129981054976,,,2,SPEAKER_00,3
real,0.0,long_00012_1284-2300-3570,s1,coarse_to_fine,3,2,-6.7949012873851125,,,2,SPEAKER_00,3
real,0.0,long_00012_1284-2300-3570,s2,coarse_to_fine,3,1,98.43370848699449,,,2,SPEAKER_02,3
real,0.0,long_00012_1284-2300-3570,s2,coarse_to_fine,3,2,3.1194069518975613,,,2,SPEAKER_02,3
real,0.0,long_00012_1284-2300-3570,s3,coarse_to_fine,3,1,53.84114597620037,,,2,SPEAKER_01,3
real,0.0,long_00012_1284-2300-3570,s3,coarse_to_fine,3,2,-3.105183955179976,,,2,SPEAKER_01,3
oracle,0.0,long_00013_4970-121-1320,s1,no_recursion,3,1,41.50751326369057,,,0,s1,3
oracle,0.0,long_00013_4970-121-1320,s1,no_recursion,3,2,0.7031063478781883,,,0,s1,3
oracle,0.0,long_00013_4970-121-1320,s2,no_recursion,3,1,40.98765354583043,,,0,s2,3
oracle,0.0,long_00013_4970-121-1320,s2,no_recursion,3,2,-1.5248633630694814,,,0,s2,3
oracle,0.0,long_00013_4970-121-1320,s3,no_recursion,3,1,44.326404580991436,,,0,s3,3
oracle,0.0,long_00013_4970-121-1320,s3,no_recursion,3,2,6.864461994991984,,,0,s3,3
oracle,0.0,long_00013_4970-121-1320,s1,ungated_deflation,3,1,41.50751326369057,0,0,0,s1,3
oracle,0.0,long_00013_4970-121-1320,s1,ungated_deflation,3,2,0.7031063478781883,0,0,0,s1,3
oracle,0.0,long_00013_4970-121-1320,s2,ungated_deflation,3,1,38.293547887087904,1,1,0,s2,3
oracle,0.0,long_00013_4970-121-1320,s2,ungated_deflation,3,2,-4.161163241007625,1,1,0,s2,3
oracle,0.0,long_00013_4970-121-1320,s3,ungated_deflation,3,1,38.17568446856947,2,2,0,s3,3
oracle,0.0,long_00013_4970-121-1320,s3,ungated_deflation,3,2,4.855151485828521,2,2,0,s3,3
oracle,0.0,long_00013_4970-121-1320,s1,gated_deflation,3,1,41.50751326369057,0,0,0,s1,3
oracle,0.0,long_00013_4970-121-1320,s1,gated_deflation,3,2,0.7031063478781883,0,0,0,s1,3
oracle,0.0,long_00013_4970-121-1320,s2,gated_deflation,3,1,38.293547887087904,1,1,0,s2,3
oracle,0.0,long_00013_4970-121-1320,s2,gated_deflation,3,2,-4.161163241007625,1,1,0,s2,3
oracle,0.0,long_00013_4970-121-1320,s3,gated_deflation,3,1,38.17568446856947,2,2,0,s3,3
oracle,0.0,long_00013_4970-121-1320,s3,gated_deflation,3,2,4.855151485828521,2,2,0,s3,3
oracle,0.0,long_00013_4970-121-1320,s1,coarse_to_fine,3,1,41.50751326369057,,,2,s1,3
oracle,0.0,long_00013_4970-121-1320,s1,coarse_to_fine,3,2,0.7031063478781883,,,2,s1,3
oracle,0.0,long_00013_4970-121-1320,s2,coarse_to_fine,3,1,40.98765354583043,,,2,s2,3
oracle,0.0,long_00013_4970-121-1320,s2,coarse_to_fine,3,2,-1.5248633630694814,,,2,s2,3
oracle,0.0,long_00013_4970-121-1320,s3,coarse_to_fine,3,1,44.053467185900146,,,2,s3,3
oracle,0.0,long_00013_4970-121-1320,s3,coarse_to_fine,3,2,7.021665775089689,,,2,s3,3
real,0.0,long_00013_4970-121-1320,s1,no_recursion,3,1,26.052647466444633,,,0,SPEAKER_02,3
real,0.0,long_00013_4970-121-1320,s1,no_recursion,3,2,-0.01828084693862905,,,0,SPEAKER_02,3
real,0.0,long_00013_4970-121-1320,s2,no_recursion,3,1,46.12641071558099,,,0,SPEAKER_00,3
real,0.0,long_00013_4970-121-1320,s2,no_recursion,3,2,-2.7608155261087197,,,0,SPEAKER_00,3
real,0.0,long_00013_4970-121-1320,s3,no_recursion,3,1,23.916006480604445,,,0,SPEAKER_01,3
real,0.0,long_00013_4970-121-1320,s3,no_recursion,3,2,2.3603853872146674,,,0,SPEAKER_01,3
real,0.0,long_00013_4970-121-1320,s1,ungated_deflation,3,1,26.052647466444633,1,1,0,SPEAKER_02,3
real,0.0,long_00013_4970-121-1320,s1,ungated_deflation,3,2,0.018720753663351897,1,1,0,SPEAKER_02,3
real,0.0,long_00013_4970-121-1320,s2,ungated_deflation,3,1,46.12641071558099,2,2,0,SPEAKER_00,3
real,0.0,long_00013_4970-121-1320,s2,ungated_deflation,3,2,-3.7092224741577073,2,2,0,SPEAKER_00,3
real,0.0,long_00013_4970-121-1320,s3,ungated_deflation,3,1,23.916006480604445,0,0,0,SPEAKER_01,3
real,0.0,long_00013_4970-121-1320,s3,ungated_deflation,3,2,2.3603853872146674,0,0,0,SPEAKER_01,3
real,0.0,long_00013_4970-121-1320,s1,gated_deflation,3,1,26.052647466444633,1,1,0,SPEAKER_02,3
real,0.0,long_00013_4970-121-1320,s1,gated_deflation,3,2,0.018720753663351897,1,1,0,SPEAKER_02,3
real,0.0,long_00013_4970-121-1320,s2,gated_deflation,3,1,46.12641071558099,2,2,0,SPEAKER_00,3
real,0.0,long_00013_4970-121-1320,s2,gated_deflation,3,2,-3.7092224741577073,2,2,0,SPEAKER_00,3
real,0.0,long_00013_4970-121-1320,s3,gated_deflation,3,1,23.916006480604445,0,0,0,SPEAKER_01,3
real,0.0,long_00013_4970-121-1320,s3,gated_deflation,3,2,2.3603853872146674,0,0,0,SPEAKER_01,3
real,0.0,long_00013_4970-121-1320,s1,coarse_to_fine,3,1,26.052647466444633,,,2,SPEAKER_02,3
real,0.0,long_00013_4970-121-1320,s1,coarse_to_fine,3,2,-0.678687311052762,,,2,SPEAKER_02,3
real,0.0,long_00013_4970-121-1320,s2,coarse_to_fine,3,1,46.12641071558099,,,2,SPEAKER_00,3
real,0.0,long_00013_4970-121-1320,s2,coarse_to_fine,3,2,-2.2620373860692538,,,2,SPEAKER_00,3
real,0.0,long_00013_4970-121-1320,s3,coarse_to_fine,3,1,23.916006480604445,,,2,SPEAKER_01,3
real,0.0,long_00013_4970-121-1320,s3,coarse_to_fine,3,2,3.2122246583233895,,,2,SPEAKER_01,3
oracle,0.0,long_00014_6829-2094-7021,s1,no_recursion,3,1,59.45488313284471,,,0,s1,3
oracle,0.0,long_00014_6829-2094-7021,s1,no_recursion,3,2,-1.967213552573421,,,0,s1,3
oracle,0.0,long_00014_6829-2094-7021,s2,no_recursion,3,1,46.52477379223317,,,0,s2,3
oracle,0.0,long_00014_6829-2094-7021,s2,no_recursion,3,2,1.8070035641075188,,,0,s2,3
oracle,0.0,long_00014_6829-2094-7021,s3,no_recursion,3,1,46.28522324737673,,,0,s3,3
oracle,0.0,long_00014_6829-2094-7021,s3,no_recursion,3,2,3.0390984069550084,,,0,s3,3
oracle,0.0,long_00014_6829-2094-7021,s1,ungated_deflation,3,1,59.45488313284471,0,0,0,s1,3
oracle,0.0,long_00014_6829-2094-7021,s1,ungated_deflation,3,2,-1.967213552573421,0,0,0,s1,3
oracle,0.0,long_00014_6829-2094-7021,s2,ungated_deflation,3,1,46.678505119898375,1,1,0,s2,3
oracle,0.0,long_00014_6829-2094-7021,s2,ungated_deflation,3,2,-1.2763170637784853,1,1,0,s2,3
oracle,0.0,long_00014_6829-2094-7021,s3,ungated_deflation,3,1,37.88198756616329,2,2,0,s3,3
oracle,0.0,long_00014_6829-2094-7021,s3,ungated_deflation,3,2,0.9119497957462315,2,2,0,s3,3
oracle,0.0,long_00014_6829-2094-7021,s1,gated_deflation,3,1,59.45488313284471,0,0,0,s1,3
oracle,0.0,long_00014_6829-2094-7021,s1,gated_deflation,3,2,-1.967213552573421,0,0,0,s1,3
oracle,0.0,long_00014_6829-2094-7021,s2,gated_deflation,3,1,46.678505119898375,1,1,0,s2,3
oracle,0.0,long_00014_6829-2094-7021,s2,gated_deflation,3,2,-1.2763170637784853,1,1,0,s2,3
oracle,0.0,long_00014_6829-2094-7021,s3,gated_deflation,3,1,37.88198756616329,2,2,0,s3,3
oracle,0.0,long_00014_6829-2094-7021,s3,gated_deflation,3,2,0.9119497957462315,2,2,0,s3,3
oracle,0.0,long_00014_6829-2094-7021,s1,coarse_to_fine,3,1,60.230153728686545,,,2,s1,3
oracle,0.0,long_00014_6829-2094-7021,s1,coarse_to_fine,3,2,-2.275153627560705,,,2,s1,3
oracle,0.0,long_00014_6829-2094-7021,s2,coarse_to_fine,3,1,46.52477379223317,,,2,s2,3
oracle,0.0,long_00014_6829-2094-7021,s2,coarse_to_fine,3,2,1.8070035641075188,,,2,s2,3
oracle,0.0,long_00014_6829-2094-7021,s3,coarse_to_fine,3,1,46.28522324737673,,,2,s3,3
oracle,0.0,long_00014_6829-2094-7021,s3,coarse_to_fine,3,2,3.0390984069550084,,,2,s3,3
real,0.0,long_00014_6829-2094-7021,s1,no_recursion,3,1,44.903188101242065,,,0,SPEAKER_01,3
real,0.0,long_00014_6829-2094-7021,s1,no_recursion,3,2,-7.296327500023123,,,0,SPEAKER_01,3
real,0.0,long_00014_6829-2094-7021,s2,no_recursion,3,1,22.993854339060952,,,0,SPEAKER_02,3
real,0.0,long_00014_6829-2094-7021,s2,no_recursion,3,2,-2.4859039788674853,,,0,SPEAKER_02,3
real,0.0,long_00014_6829-2094-7021,s3,no_recursion,3,1,51.8862545897327,,,0,SPEAKER_00,3
real,0.0,long_00014_6829-2094-7021,s3,no_recursion,3,2,1.0147130104075994,,,0,SPEAKER_00,3
real,0.0,long_00014_6829-2094-7021,s1,ungated_deflation,3,1,44.903188101242065,0,0,0,SPEAKER_01,3
