scene,speaker,system,round,accepted,mean_variance,margin,vad_coverage,artifact_score,reason
672-122797-0044_8463-294828-0013_4507-16021-0043,s2,gated_deflation,0,True,0.00012839922730585365,0.6718376183895742,0.9658862876254181,0.666910588945265,accepted
672-122797-0044_8463-294828-0013_4507-16021-0043,s3,gated_deflation,0,False,0.0,-0.16511117629661942,0.9661789297658863,0.7794857553737508,margin
672-122797-0044_8463-294828-0013_4507-16021-0043,s1,coarse_to_fine,0,True,0.0,0.17025854959671333,1.0,0.5147182176149028,accepted
672-122797-0044_8463-294828-0013_4507-16021-0043,s2,coarse_to_fine,0,True,0.00012839922730585365,0.3743204352645805,0.9678929765886287,0.5078001483323357,accepted
672-122797-0044_8463-294828-0013_4507-16021-0043,s3,coarse_to_fine,0,False,0.0,-0.4066548549949459,0.9654682274247491,0.42548327357089,margin
672-122797-0044_8463-294828-0013_4507-16021-0043,s1,coarse_to_fine,1,True,0.0,0.34267903759690915,1.0,0.5522036533062494,accepted
672-122797-0044_8463-294828-0013_4507-16021-0043,s2,coarse_to_fine,1,True,0.00012839922730585365,0.7194144946717572,0.9669732441471572,0.4955359853598199,accepted
672-122797-0044_8463-294828-0013_4507-16021-0043,s3,coarse_to_fine,1,False,0.0,-0.6968794339945775,0.9654682274247491,0.42548327357089,margin
6930-81414-0001_1995-1836-0006_121-121726-0014,s1,gated_deflation,0,True,0.00011719836239998562,0.5620888675427858,1.0,0.5587400974014941,accepted
6930-81414-0001_1995-1836-0006_121-121726-0014,s2,gated_deflation,0,True,0.0,0.11670436849393728,1.0,0.7445277205675271,accepted
6930-81414-0001_1995-1836-0006_121-121726-0014,s3,gated_deflation,0,False,0.0,0.11805057505912486,1.0,0.9158068242881111,artifact_score
6930-81414-0001_1995-1836-0006_121-121726-0014,s1,coarse_to_fine,0,True,0.00011719836239998562,0.21451225658092535,1.0,0.5219298905984022,accepted
6930-81414-0001_1995-1836-0006_121-121726-0014,s2,coarse_to_fine,0,True,0.0,0.3578241409790804,1.0,0.3546448664290166,accepted
6930-81414-0001_1995-1836-0006_121-121726-0014,s3,coarse_to_fine,0,False,0.0,-0.24359371670489238,1.0,0.3986687531273615,margin
6930-81414-0001_1995-1836-0006_121-121726-0014,s1,coarse_to_fine,1,True,0.00011719836239998562,0.5105059178548348,1.0,0.5305565300513849,accepted
6930-81414-0001_1995-1836-0006_121-121726-0014,s2,coarse_to_fine,1,True,0.0,0.5354762249357503,1.0,0.32920702744431873,accepted
6930-81414-0001_1995-1836-0006_121-121726-0014,s3,coarse_to_fine,1,False,0.0,-0.348415589617901,1.0,0.3986687531273615,margin
