scene,speaker,system,m,depth,si_sdr,deflation_index,n_accepted_before,refine_rounds
4077-13754-0001_5142-33396-0065_5683-32866-0012_x4,s1,no_recursion,4,1,inf,,,0
4077-13754-0001_5142-33396-0065_5683-32866-0012_x4,s1,no_recursion,4,2,nan,,,0
4077-13754-0001_5142-33396-0065_5683-32866-0012_x4,s1,no_recursion,4,3,nan,,,0
4077-13754-0001_5142-33396-0065_5683-32866-0012_x4,s1,no_recursion,4,4,-4.728372488382072,,,0
4077-13754-0001_5142-33396-0065_5683-32866-0012_x4,s2,no_recursion,4,1,inf,,,0
4077-13754-0001_5142-33396-0065_5683-32866-0012_x4,s2,no_recursion,4,2,0.7606526719075507,,,0
4077-13754-0001_5142-33396-0065_5683-32866-0012_x4,s2,no_recursion,4,3,0.8645617827307448,,,0
4077-13754-0001_5142-33396-0065_5683-32866-0012_x4,s2,no_recursion,4,4,-8.13160843537895,,,0
4077-13754-0001_5142-33396-0065_5683-32866-0012_x4,s3,no_recursion,4,1,59.14556892710805,,,0
4077-13754-0001_5142-33396-0065_5683-32866-0012_x4,s3,no_recursion,4,2,2.5210053938854067,,,0
4077-13754-0001_5142-33396-0065_5683-32866-0012_x4,s3,no_recursion,4,3,-8.112936147845222,,,0
4077-13754-0001_5142-33396-0065_5683-32866-0012_x4,s3,no_recursion,4,4,-0.7834539027646614,,,0
4077-13754-0001_5142-33396-0065_5683-32866-0012_x4,s4,no_recursion,4,1,19.91851355291845,,,0
4077-13754-0001_5142-33396-0065_5683-32866-0012_x4,s4,no_recursion,4,2,nan,,,0
4077-13754-0001_5142-33396-0065_5683-32866-0012_x4,s4,no_recursion,4,3,-9.329470279228717,,,0
4077-13754-0001_5142-33396-0065_5683-32866-0012_x4,s4,no_recursion,4,4,-5.230711015375546,,,0
4077-13754-0001_5142-33396-0065_5683-32866-0012_x4,s1,ungated_deflation,4,1,inf,0,0,0
4077-13754-0001_5142-33396-0065_5683-32866-0012_x4,s1,ungated_deflation,4,2,nan,0,0,0
4077-13754-0001_5142-33396-0065_5683-32866-0012_x4,s1,ungated_deflation,4,3,nan,0,0,0
4077-13754-0001_5142-33396-0065_5683-32866-0012_x4,s1,ungated_deflation,4,4,-4.728372488382072,0,0,0
4077-13754-0001_5142-33396-0065_5683-32866-0012_x4,s2,ungated_deflation,4,1,inf,1,1,0
4077-13754-0001_5142-33396-0065_5683-32866-0012_x4,s2,ungated_deflation,4,2,-0.9338673219406246,1,1,0
4077-13754-0001_5142-33396-0065_5683-32866-0012_x4,s2,ungated_deflation,4,3,5.514759338640388,1,1,0
4077-13754-0001_5142-33396-0065_5683-32866-0012_x4,s2,ungated_deflation,4,4,-8.231933872510504,1,1,0
4077-13754-0001_5142-33396-0065_5683-32866-0012_x4,s3,ungated_deflation,4,1,63.98607099460278,3,3,0
4077-13754-0001_5142-33396-0065_5683-32866-0012_x4,s3,ungated_deflation,4,2,-1.0445395133539317,3,3,0
4077-13754-0001_5142-33396-0065_5683-32866-0012_x4,s3,ungated_deflation,4,3,-7.660402975603109,3,3,0
4077-13754-0001_5142-33396-0065_5683-32866-0012_x4,s3,ungated_deflation,4,4,-5.11262699341631,3,3,0
4077-13754-0001_5142-33396-0065_5683-32866-0012_x4,s4,ungated_deflation,4,1,10.66697960445838,2,2,0
4077-13754-0001_5142-33396-0065_5683-32866-0012_x4,s4,ungated_deflation,4,2,nan,2,2,0
4077-13754-0001_5142-33396-0065_5683-32866-0012_x4,s4,ungated_deflation,4,3,-10.925630908508033,2,2,0
4077-13754-0001_5142-33396-0065_5683-32866-0012_x4,s4,ungated_deflation,4,4,-5.740870997678148,2,2,0
4077-13754-0001_5142-33396-0065_5683-32866-0012_x4,s1,gated_deflation,4,1,inf,0,0,0
4077-13754-0001_5142-33396-0065_5683-32866-0012_x4,s1,gated_deflation,4,2,nan,0,0,0
4077-13754-0001_5142-33396-0065_5683-32866-0012_x4,s1,gated_deflation,4,3,nan,0,0,0
4077-13754-0001_5142-33396-0065_5683-32866-0012_x4,s1,gated_deflation,4,4,-4.728372488382072,0,0,0
4077-13754-0001_5142-33396-0065_5683-32866-0012_x4,s2,gated_deflation,4,1,inf,1,1,0
4077-13754-0001_5142-33396-0065_5683-32866-0012_x4,s2,gated_deflation,4,2,-0.9338673219406246,1,1,0
4077-13754-0001_5142-33396-0065_5683-32866-0012_x4,s2,gated_deflation,4,3,5.514759338640388,1,1,0
4077-13754-0001_5142-33396-0065_5683-32866-0012_x4,s2,gated_deflation,4,4,-8.231933872510504,1,1,0
4077-13754-0001_5142-33396-0065_5683-32866-0012_x4,s3,gated_deflation,4,1,66.59336504651333,3,2,0
4077-13754-0001_5142-33396-0065_5683-32866-0012_x4,s3,gated_deflation,4,2,6.842729665259222,3,2,0
4077-13754-0001_5142-33396-0065_5683-32866-0012_x4,s3,gated_deflation,4,3,-6.790051898173455,3,2,0
4077-13754-0001_5142-33396-0065_5683-32866-0012_x4,s3,gated_deflation,4,4,-3.954587816514645,3,2,0
4077-13754-0001_5142-33396-0065_5683-32866-0012_x4,s4,gated_deflation,4,1,17.904604349023888,2,1,0
4077-13754-0001_5142-33396-0065_5683-32866-0012_x4,s4,gated_deflation,4,2,nan,2,1,0
4077-13754-0001_5142-33396-0065_5683-32866-0012_x4,s4,gated_deflation,4,3,-12.022526732595203,2,1,0
4077-13754-0001_5142-33396-0065_5683-32866-0012_x4,s4,gated_deflation,4,4,-4.785574783170121,2,1,0
4077-13754-0001_5142-33396-0065_5683-32866-0012_x4,s1,coarse_to_fine,4,1,inf,,,2
4077-13754-0001_5142-33396-0065_5683-32866-0012_x4,s1,coarse_to_fine,4,2,nan,,,2
4077-13754-0001_5142-33396-0065_5683-32866-0012_x4,s1,coarse_to_fine,4,3,nan,,,2
4077-13754-0001_5142-33396-0065_5683-32866-0012_x4,s1,coarse_to_fine,4,4,-4.728372488382072,,,2
4077-13754-0001_5142-33396-0065_5683-32866-0012_x4,s2,coarse_to_fine,4,1,inf,,,2
4077-13754-0001_5142-33396-0065_5683-32866-0012_x4,s2,coarse_to_fine,4,2,-0.01762117632281929,,,2
4077-13754-0001_5142-33396-0065_5683-32866-0012_x4,s2,coarse_to_fine,4,3,0.03486822312133262,,,2
