scene,speaker,system,m,depth,si_sdr,deflation_index,n_accepted_before,refine_rounds
4077-13754-0001_5142-33396-0065_5683-32866-0012_x5,s5,ungated_deflation,5,5,-4.785937953361993,3,3,0
4077-13754-0001_5142-33396-0065_5683-32866-0012_x5,s1,gated_deflation,5,1,inf,0,0,0
4077-13754-0001_5142-33396-0065_5683-32866-0012_x5,s1,gated_deflation,5,2,nan,0,0,0
4077-13754-0001_5142-33396-0065_5683-32866-0012_x5,s1,gated_deflation,5,3,nan,0,0,0
4077-13754-0001_5142-33396-0065_5683-32866-0012_x5,s1,gated_deflation,5,4,nan,0,0,0
4077-13754-0001_5142-33396-0065_5683-32866-0012_x5,s1,gated_deflation,5,5,-5.159783861135895,0,0,0
4077-13754-0001_5142-33396-0065_5683-32866-0012_x5,s2,gated_deflation,5,1,inf,1,1,0
4077-13754-0001_5142-33396-0065_5683-32866-0012_x5,s2,gated_deflation,5,2,-30.630645168072164,1,1,0
4077-13754-0001_5142-33396-0065_5683-32866-0012_x5,s2,gated_deflation,5,3,-3.6635733882970123,1,1,0
4077-13754-0001_5142-33396-0065_5683-32866-0012_x5,s2,gated_deflation,5,4,5.451078137004204,1,1,0
4077-13754-0001_5142-33396-0065_5683-32866-0012_x5,s2,gated_deflation,5,5,-11.628130774805543,1,1,0
4077-13754-0001_5142-33396-0065_5683-32866-0012_x5,s3,gated_deflation,5,1,64.46469481473606,4,1,0
4077-13754-0001_5142-33396-0065_5683-32866-0012_x5,s3,gated_deflation,5,2,25.71308461843669,4,1,0
4077-13754-0001_5142-33396-0065_5683-32866-0012_x5,s3,gated_deflation,5,3,7.574850195201353,4,1,0
4077-13754-0001_5142-33396-0065_5683-32866-0012_x5,s3,gated_deflation,5,4,-7.133748374109416,4,1,0
4077-13754-0001_5142-33396-0065_5683-32866-0012_x5,s3,gated_deflation,5,5,-2.3923136587143894,4,1,0
4077-13754-0001_5142-33396-0065_5683-32866-0012_x5,s4,gated_deflation,5,1,inf,2,1,0
4077-13754-0001_5142-33396-0065_5683-32866-0012_x5,s4,gated_deflation,5,2,nan,2,1,0
4077-13754-0001_5142-33396-0065_5683-32866-0012_x5,s4,gated_deflation,5,3,nan,2,1,0
4077-13754-0001_5142-33396-0065_5683-32866-0012_x5,s4,gated_deflation,5,4,-15.02916668730705,2,1,0
4077-13754-0001_5142-33396-0065_5683-32866-0012_x5,s4,gated_deflation,5,5,-5.867630956746797,2,1,0
4077-13754-0001_5142-33396-0065_5683-32866-0012_x5,s5,gated_deflation,5,1,25.13958358330331,3,1,0
4077-13754-0001_5142-33396-0065_5683-32866-0012_x5,s5,gated_deflation,5,2,nan,3,1,0
4077-13754-0001_5142-33396-0065_5683-32866-0012_x5,s5,gated_deflation,5,3,-10.034231342724972,3,1,0
4077-13754-0001_5142-33396-0065_5683-32866-0012_x5,s5,gated_deflation,5,4,-28.136036337354145,3,1,0
4077-13754-0001_5142-33396-0065_5683-32866-0012_x5,s5,gated_deflation,5,5,-4.515522382102423,3,1,0
4077-13754-0001_5142-33396-0065_5683-32866-0012_x5,s1,coarse_to_fine,5,1,inf,,,2
4077-13754-0001_5142-33396-0065_5683-32866-0012_x5,s1,coarse_to_fine,5,2,nan,,,2
4077-13754-0001_5142-33396-0065_5683-32866-0012_x5,s1,coarse_to_fine,5,3,nan,,,2
4077-13754-0001_5142-33396-0065_5683-32866-0012_x5,s1,coarse_to_fine,5,4,nan,,,2
4077-13754-0001_5142-33396-0065_5683-32866-0012_x5,s1,coarse_to_fine,5,5,-5.159783861135895,,,2
4077-13754-0001_5142-33396-0065_5683-32866-0012_x5,s2,coarse_to_fine,5,1,inf,,,2
4077-13754-0001_5142-33396-0065_5683-32866-0012_x5,s2,coarse_to_fine,5,2,-26.5453345414626,,,2
4077-13754-0001_5142-33396-0065_5683-32866-0012_x5,s2,coarse_to_fine,5,3,-1.276567117816938,,,2
4077-13754-0001_5142-33396-0065_5683-32866-0012_x5,s2,coarse_to_fine,5,4,4.382737989410653,,,2
4077-13754-0001_5142-33396-0065_5683-32866-0012_x5,s2,coarse_to_fine,5,5,-10.640113290324933,,,2
4077-13754-0001_5142-33396-0065_5683-32866-0012_x5,s3,coarse_to_fine,5,1,65.16666003642459,,,2
4077-13754-0001_5142-33396-0065_5683-32866-0012_x5,s3,coarse_to_fine,5,2,23.6192741395653,,,2
4077-13754-0001_5142-33396-0065_5683-32866-0012_x5,s3,coarse_to_fine,5,3,6.291433452693694,,,2
4077-13754-0001_5142-33396-0065_5683-32866-0012_x5,s3,coarse_to_fine,5,4,-6.935916220446864,,,2
4077-13754-0001_5142-33396-0065_5683-32866-0012_x5,s3,coarse_to_fine,5,5,1.162704273965626,,,2
4077-13754-0001_5142-33396-0065_5683-32866-0012_x5,s4,coarse_to_fine,5,1,inf,,,2
4077-13754-0001_5142-33396-0065_5683-32866-0012_x5,s4,coarse_to_fine,5,2,nan,,,2
4077-13754-0001_5142-33396-0065_5683-32866-0012_x5,s4,coarse_to_fine,5,3,nan,,,2
4077-13754-0001_5142-33396-0065_5683-32866-0012_x5,s4,coarse_to_fine,5,4,-14.409322649385103,,,2
4077-13754-0001_5142-33396-0065_5683-32866-0012_x5,s4,coarse_to_fine,5,5,-6.504637806408064,,,2
4077-13754-0001_5142-33396-0065_5683-32866-0012_x5,s5,coarse_to_fine,5,1,35.252944458734376,,,2
4077-13754-0001_5142-33396-0065_5683-32866-0012_x5,s5,coarse_to_fine,5,2,nan,,,2
4077-13754-0001_5142-33396-0065_5683-32866-0012_x5,s5,coarse_to_fine,5,3,-8.839576168290744,,,2
4077-13754-0001_5142-33396-0065_5683-32866-0012_x5,s5,coarse_to_fine,5,4,-38.52395548313557,,,2
4077-13754-0001_5142-33396-0065_5683-32866-0012_x5,s5,coarse_to_fine,5,5,-4.267785472531035,,,2
4507-16021-0025_1188-133604-0025_4992-23283-0016_x5,s1,no_recursion,5,1,66.27800406439638,,,0
4507-16021-0025_1188-133604-0025_4992-23283-0016_x5,s1,no_recursion,5,2,15.441249509820935,,,0
4507-16021-0025_1188-133604-0025_4992-23283-0016_x5,s1,no_recursion,5,3,1.7870555109128436,,,0
4507-16021-0025_1188-133604-0025_4992-23283-0016_x5,s1,no_recursion,5,4,10.16538324874362,,,0
4507-16021-0025_1188-133604-0025_4992-23283-0016_x5,s1,no_recursion,5,5,1.5809331200679342,,,0
4507-16021-0025_1188-133604-0025_4992-23283-0016_x5,s2,no_recursion,5,1,inf,,,0
4507-16021-0025_1188-133604-0025_4992-23283-0016_x5,s2,no_recursion,5,2,-13.51738587505138,,,0
4507-16021-0025_1188-133604-0025_4992-23283-0016_x5,s2,no_recursion,5,3,-7.150736912894647,,,0
4507-16021-0025_1188-133604-0025_4992-23283-0016_x5,s2,no_recursion,5,4,-15.95763620400734,,,0
4507-16021-0025_1188-133604-0025_4992-23283-0016_x5,s2,no_recursion,5,5,-7.7993612544482405,,,0
4507-16021-0025_1188-133604-0025_4992-23283-0016_x5,s3,no_recursion,5,1,inf,,,0
4507-16021-0025_1188-133604-0025_4992-23283-0016_x5,s3,no_recursion,5,2,nan,,,0
4507-16021-0025_1188-133604-0025_4992-23283-0016_x5,s3,no_recursion,5,3,nan,,,0
4507-16021-0025_1188-133604-0025_4992-23283-0016_x5,s3,no_recursion,5,4,nan,,,0
4507-16021-0025_1188-133604-0025_4992-23283-0016_x5,s3,no_recursion,5,5,-11.356759305412789,,,0
4507-16021-0025_1188-133604-0025_4992-23283-0016_x5,s4,no_recursion,5,1,inf,,,0
4507-16021-0025_1188-133604-0025_4992-23283-0016_x5,s4,no_recursion,5,2,nan,,,0
4507-16021-0025_1188-133604-0025_4992-23283-0016_x5,s4,no_recursion,5,3,-4.605884092159406,,,0
4507-16021-0025_1188-133604-0025_4992-23283-0016_x5,s4,no_recursion,5,4,-8.862334012960355,,,0
4507-16021-0025_1188-133604-0025_4992-23283-0016_x5,s4,no_recursion,5,5,-4.398830466945015,,,0
4507-16021-0025_1188-133604-0025_4992-23283-0016_x5,s5,no_recursion,5,1,45.618725052893325,,,0
4507-16021-0025_1188-133604-0025_4992-23283-0016_x5,s5,no_recursion,5,2,nan,,,0
4507-16021-0025_1188-133604-0025_4992-23283-0016_x5,s5,no_recursion,5,3,nan,,,0
4507-16021-0025_1188-133604-0025_4992-23283-0016_x5,s5,no_recursion,5,4,-22.944435586986245,,,0
4507-16021-0025_1188-133604-0025_4992-23283-0016_x5,s5,no_recursion,5,5,-12.575096724875976,,,0
4507-16021-0025_1188-133604-0025_4992-23283-0016_x5,s1,ungated_deflation,5,1,59.66789030276624,4,4,0
4507-16021-0025_1188-133604-0025_4992-23283-0016_x5,s1,ungated_deflation,5,2,11.067197684581718,4,4,0
4507-16021-0025_1188-133604-0025_4992-23283-0016_x5,s1,ungated_deflation,5,3,-1.3567385366474682,4,4,0
4507-16021-0025_1188-133604-0025_4992-23283-0016_x5,s1,ungated_deflation,5,4,7.623005436093995,4,4,0
4507-16021-0025_1188-133604-0025_4992-23283-0016_x5,s1,ungated_deflation,5,5,-1.419738423428509,4,4,0
4507-16021-0025_1188-133604-0025_4992-23283-0016_x5,s2,ungated_deflation,5,1,inf,0,0,0
4507-16021-0025_1188-133604-0025_4992-23283-0016_x5,s2,ungated_deflation,5,2,-13.51738587505138,0,0,0
4507-16021-0025_1188-133604-0025_4992-23283-0016_x5,s2,ungated_deflation,5,3,-7.150736912894647,0,0,0
4507-16021-0025_1188-133604-0025_4992-23283-0016_x5,s2,ungated_deflation,5,4,-15.95763620400734,0,0,0
4507-16021-0025_1188-133604-0025_4992-23283-0016_x5,s2,ungated_deflation,5,5,-7.7993612544482405,0,0,0
4507-16021-0025_1188-133604-0025_4992-23283-0016_x5,s3,ungated_deflation,5,1,inf,1,1,0
4507-16021-0025_1188-133604-0025_4992-23283-0016_x5,s3,ungated_deflation,5,2,nan,1,1,0
4507-16021-0025_1188-133604-0025_4992-23283-0016_x5,s3,ungated_deflation,5,3,nan,1,1,0
4507-16021-0025_1188-133604-0025_4992-23283-0016_x5,s3,ungated_deflation,5,4,nan,1,1,0
4507-16021-0025_1188-133604-0025_4992-23283-0016_x5,s3,ungated_deflation,5,5,-10.98971208816767,1,1,0
4507-16021-0025_1188-133604-0025_4992-23283-0016_x5,s4,ungated_deflation,5,1,inf,2,2,0
4507-16021-0025_1188-133604-0025_4992-23283-0016_x5,s4,ungated_deflation,5,2,nan,2,2,0
4507-16021-0025_1188-133604-0025_4992-23283-0016_x5,s4,ungated_deflation,5,3,-5.192655227481086,2,2,0
4507-16021-0025_1188-133604-0025_4992-23283-0016_x5,s4,ungated_deflation,5,4,-10.317500939136508,2,2,0
4507-16021-0025_1188-133604-0025_4992-23283-0016_x5,s4,ungated_deflation,5,5,-3.6286677678896924,2,2,0
4507-16021-0025_1188-133604-0025_4992-23283-0016_x5,s5,ungated_deflation,5,1,13.119839703777531,3,3,0
4507-16021-0025_1188-133604-0025_4992-23283-0016_x5,s5,ungated_deflation,5,2,nan,3,3,0
4507-16021-0025_1188-133604-0025_4992-23283-0016_x5,s5,ungated_deflation,5,3,nan,3,3,0
4507-16021-0025_1188-133604-0025_4992-23283-0016_x5,s5,ungated_deflation,5,4,-25.732409664190673,3,3,0
4507-16021-0025_1188-133604-0025_4992-23283-0016_x5,s5,ungated_deflation,5,5,-15.025726586087782,3,3,0
4507-16021-0025_1188-133604-0025_4992-23283-0016_x5,s1,gated_deflation,5,1,60.24685814186584,4,2,0
4507-16021-0025_1188-133604-0025_4992-23283-0016_x5,s1,gated_deflation,5,2,11.723627210552284,4,2,0
4507-16021-0025_1188-133604-0025_4992-23283-0016_x5,s1,gated_deflation,5,3,-1.0534845957167467,4,2,0
4507-16021-0025_1188-133604-0025_4992-23283-0016_x5,s1,gated_deflation,5,4,9.37947688492226,4,2,0
4507-16021-0025_1188-133604-0025_4992-23283-0016_x5,s1,gated_deflation,5,5,-0.07843754087047378,4,2,0
4507-16021-0025_1188-133604-0025_4992-23283-0016_x5,s2,gated_deflation,5,1,inf,0,0,0
4507-16021-0025_1188-133604-0025_4992-23283-0016_x5,s2,gated_deflation,5,2,-13.51738587505138,0,0,0
4507-16021-0025_1188-133604-0025_4992-23283-0016_x5,s2,gated_deflation,5,3,-7.150736912894647,0,0,0
4507-16021-0025_1188-133604-0025_4992-23283-0016_x5,s2,gated_deflation,5,4,-15.95763620400734,0,0,0
4507-16021-0025_1188-133604-0025_4992-23283-0016_x5,s2,gated_deflation,5,5,-7.7993612544482405,0,0,0
4507-16021-0025_1188-133604-0025_4992-23283-0016_x5,s3,gated_deflation,5,1,inf,1,1,0
4507-16021-0025_1188-133604-0025_4992-23283-0016_x5,s3,gated_deflation,5,2,nan,1,1,0
4507-16021-0025_1188-133604-0025_4992-23283-0016_x5,s3,gated_deflation,5,3,nan,1,1,0
4507-16021-0025_1188-133604-0025_4992-23283-0016_x5,s3,gated_deflation,5,4,nan,1,1,0
4507-16021-0025_1188-133604-0025_4992-23283-0016_x5,s3,gated_deflation,5,5,-10.98971208816767,1,1,0
4507-16021-0025_1188-133604-0025_4992-23283-0016_x5,s4,gated_deflation,5,1,inf,2,2,0
4507-16021-0025_1188-133604-0025_4992-23283-0016_x5,s4,gated_deflation,5,2,nan,2,2,0
4507-16021-0025_1188-133604-0025_4992-23283-0016_x5,s4,gated_deflation,5,3,-5.192655227481086,2,2,0
4507-16021-0025_1188-133604-0025_4992-23283-0016_x5,s4,gated_deflation,5,4,-10.317500939136508,2,2,0
4507-16021-0025_1188-133604-0025_4992-23283-0016_x5,s4,gated_deflation,5,5,-3.6286677678896924,2,2,0
4507-16021-0025_1188-133604-0025_4992-23283-0016_x5,s5,gated_deflation,5,1,26.630833250821972,3,2,0
4507-16021-0025_1188-133604-0025_4992-23283-0016_x5,s5,gated_deflation,5,2,nan,3,2,0
4507-16021-0025_1188-133604-0025_4992-23283-0016_x5,s5,gated_deflation,5,3,nan,3,2,0
4507-16021-0025_1188-133604-0025_4992-23283-0016_x5,s5,gated_deflation,5,4,-23.92121158835634,3,2,0
4507-16021-0025_1188-133604-0025_4992-23283-0016_x5,s5,gated_deflation,5,5,-13.804080054598838,3,2,0
4507-16021-0025_1188-133604-0025_4992-23283-0016_x5,s1,coarse_to_fine,5,1,66.27800406439638,,,2
4507-16021-0025_1188-133604-0025_4992-23283-0016_x5,s1,coarse_to_fine,5,2,15.441249509820935,,,2
4507-16021-0025_1188-133604-0025_4992-23283-0016_x5,s1,coarse_to_fine,5,3,1.7870555109128436,,,2
4507-16021-0025_1188-133604-0025_4992-23283-0016_x5,s1,coarse_to_fine,5,4,10.16538324874362,,,2
4507-16021-0025_1188-133604-0025_4992-23283-0016_x5,s1,coarse_to_fine,5,5,1.5809331200679342,,,2
4507-16021-0025_1188-133604-0025_4992-23283-0016_x5,s2,coarse_to_fine,5,1,inf,,,2
4507-16021-0025_1188-133604-0025_4992-23283-0016_x5,s2,coarse_to_fine,5,2,-13.51738587505138,,,2
4507-16021-0025_1188-133604-0025_4992-23283-0016_x5,s2,coarse_to_fine,5,3,-7.150736912894647,,,2
4507-16021-0025_1188-133604-0025_4992-23283-0016_x5,s2,coarse_to_fine,5,4,-15.95763620400734,,,2
4507-16021-0025_1188-133604-0025_4992-23283-0016_x5,s2,coarse_to_fine,5,5,-7.7993612544482405,,,2
4507-16021-0025_1188-133604-0025_4992-23283-0016_x5,s3,coarse_to_fine,5,1,inf,,,2
4507-16021-0025_1188-133604-0025_4992-23283-0016_x5,s3,coarse_to_fine,5,2,nan,,,2
4507-16021-0025_1188-133604-0025_4992-23283-0016_x5,s3,coarse_to_fine,5,3,nan,,,2
4507-16021-0025_1188-133604-0025_4992-23283-0016_x5,s3,coarse_to_fine,5,4,nan,,,2
4507-16021-0025_1188-133604-0025_4992-23283-0016_x5,s3,coarse_to_fine,5,5,-11.356759305412789,,,2
4507-16021-0025_1188-133604-0025_4992-23283-0016_x5,s4,coarse_to_fine,5,1,inf,,,2
4507-16021-0025_1188-133604-0025_4992-23283-0016_x5,s4,coarse_to_fine,5,2,nan,,,2
4507-16021-0025_1188-133604-0025_4992-23283-0016_x5,s4,coarse_to_fine,5,3,-4.605884092159406,,,2
4507-16021-0025_1188-133604-0025_4992-23283-0016_x5,s4,coarse_to_fine,5,4,-8.862334012960355,,,2
4507-16021-0025_1188-133604-0025_4992-23283-0016_x5,s4,coarse_to_fine,5,5,-4.398830466945015,,,2
4507-16021-0025_1188-133604-0025_4992-23283-0016_x5,s5,coarse_to_fine,5,1,45.618725052893325,,,2
4507-16021-0025_1188-133604-0025_4992-23283-0016_x5,s5,coarse_to_fine,5,2,nan,,,2
4507-16021-0025_1188-133604-0025_4992-23283-0016_x5,s5,coarse_to_fine,5,3,nan,,,2
4507-16021-0025_1188-133604-0025_4992-23283-0016_x5,s5,coarse_to_fine,5,4,-22.944435586986245,,,2
4507-16021-0025_1188-133604-0025_4992-23283-0016_x5,s5,coarse_to_fine,5,5,-12.575096724875976,,,2
5142-36377-0017_2830-3980-0022_3729-6852-0038_x5,s1,no_recursion,5,1,inf,,,0
5142-36377-0017_2830-3980-0022_3729-6852-0038_x5,s1,no_recursion,5,2,nan,,,0
5142-36377-0017_2830-3980-0022_3729-6852-0038_x5,s1,no_recursion,5,3,nan,,,0
5142-36377-0017_2830-3980-0022_3729-6852-0038_x5,s1,no_recursion,5,4,-13.774284396276059,,,0
5142-36377-0017_2830-3980-0022_3729-6852-0038_x5,s1,no_recursion,5,5,-1.4054253367835903,,,0
5142-36377-0017_2830-3980-0022_3729-6852-0038_x5,s2,no_recursion,5,1,inf,,,0
5142-36377-0017_2830-3980-0022_3729-6852-0038_x5,s2,no_recursion,5,2,nan,,,0
5142-36377-0017_2830-3980-0022_3729-6852-0038_x5,s2,no_recursion,5,3,nan,,,0
5142-36377-0017_2830-3980-0022_3729-6852-0038_x5,s2,no_recursion,5,4,nan,,,0
5142-36377-0017_2830-3980-0022_3729-6852-0038_x5,s2,no_recursion,5,5,-7.986598948108683,,,0
5142-36377-0017_2830-3980-0022_3729-6852-0038_x5,s3,no_recursion,5,1,inf,,,0
5142-36377-0017_2830-3980-0022_3729-6852-0038_x5,s3,no_recursion,5,2,-3.0737356670065825,,,0
5142-36377-0017_2830-3980-0022_3729-6852-0038_x5,s3,no_recursion,5,3,-4.091186913043009,,,0
5142-36377-0017_2830-3980-0022_3729-6852-0038_x5,s3,no_recursion,5,4,-2.2711485258846893,,,0
5142-36377-0017_2830-3980-0022_3729-6852-0038_x5,s3,no_recursion,5,5,-6.8343902572416955,,,0
5142-36377-0017_2830-3980-0022_3729-6852-0038_x5,s4,no_recursion,5,1,48.04072240251031,,,0
5142-36377-0017_2830-3980-0022_3729-6852-0038_x5,s4,no_recursion,5,2,12.075687559865298,,,0
5142-36377-0017_2830-3980-0022_3729-6852-0038_x5,s4,no_recursion,5,3,13.432769581733028,,,0
5142-36377-0017_2830-3980-0022_3729-6852-0038_x5,s4,no_recursion,5,4,0.8433836967359403,,,0
5142-36377-0017_2830-3980-0022_3729-6852-0038_x5,s4,no_recursion,5,5,0.7243587682136827,,,0
5142-36377-0017_2830-3980-0022_3729-6852-0038_x5,s5,no_recursion,5,1,28.031635593452723,,,0
5142-36377-0017_2830-3980-0022_3729-6852-0038_x5,s5,no_recursion,5,2,nan,,,0
5142-36377-0017_2830-3980-0022_3729-6852-0038_x5,s5,no_recursion,5,3,-14.194927139349963,,,0
5142-36377-0017_2830-3980-0022_3729-6852-0038_x5,s5,no_recursion,5,4,-10.338548229360029,,,0
5142-36377-0017_2830-3980-0022_3729-6852-0038_x5,s5,no_recursion,5,5,-9.642693850159416,,,0
5142-36377-0017_2830-3980-0022_3729-6852-0038_x5,s1,ungated_deflation,5,1,inf,0,0,0
5142-36377-0017_2830-3980-0022_3729-6852-0038_x5,s1,ungated_deflation,5,2,nan,0,0,0
5142-36377-0017_2830-3980-0022_3729-6852-0038_x5,s1,ungated_deflation,5,3,nan,0,0,0
5142-36377-0017_2830-3980-0022_3729-6852-0038_x5,s1,ungated_deflation,5,4,-13.774284396276059,0,0,0
5142-36377-0017_2830-3980-0022_3729-6852-0038_x5,s1,ungated_deflation,5,5,-1.4054253367835903,0,0,0
5142-36377-0017_2830-3980-0022_3729-6852-0038_x5,s2,ungated_deflation,5,1,inf,1,1,0
