scene,speaker,system,m,depth,si_sdr,deflation_index,n_accepted_before,refine_rounds
4077-13754-0001_5142-33396-0065_5683-32866-0012,s1,no_recursion,3,1,inf,,,0
4077-13754-0001_5142-33396-0065_5683-32866-0012,s1,no_recursion,3,2,nan,,,0
4077-13754-0001_5142-33396-0065_5683-32866-0012,s1,no_recursion,3,3,-1.4257591921201196,,,0
4077-13754-0001_5142-33396-0065_5683-32866-0012,s2,no_recursion,3,1,inf,,,0
4077-13754-0001_5142-33396-0065_5683-32866-0012,s2,no_recursion,3,2,0.6981758574199921,,,0
4077-13754-0001_5142-33396-0065_5683-32866-0012,s2,no_recursion,3,3,-6.483708468309251,,,0
4077-13754-0001_5142-33396-0065_5683-32866-0012,s3,no_recursion,3,1,29.579064594294685,,,0
4077-13754-0001_5142-33396-0065_5683-32866-0012,s3,no_recursion,3,2,3.472084628488455,,,0
4077-13754-0001_5142-33396-0065_5683-32866-0012,s3,no_recursion,3,3,4.080786865269566,,,0
4077-13754-0001_5142-33396-0065_5683-32866-0012,s1,ungated_deflation,3,1,inf,0,0,0
4077-13754-0001_5142-33396-0065_5683-32866-0012,s1,ungated_deflation,3,2,nan,0,0,0
4077-13754-0001_5142-33396-0065_5683-32866-0012,s1,ungated_deflation,3,3,-1.4257591921201196,0,0,0
4077-13754-0001_5142-33396-0065_5683-32866-0012,s2,ungated_deflation,3,1,inf,1,1,0
4077-13754-0001_5142-33396-0065_5683-32866-0012,s2,ungated_deflation,3,2,0.811539657573782,1,1,0
4077-13754-0001_5142-33396-0065_5683-32866-0012,s2,ungated_deflation,3,3,-7.613514582715868,1,1,0
4077-13754-0001_5142-33396-0065_5683-32866-0012,s3,ungated_deflation,3,1,19.0569319952193,2,2,0
4077-13754-0001_5142-33396-0065_5683-32866-0012,s3,ungated_deflation,3,2,3.4493729568570695,2,2,0
4077-13754-0001_5142-33396-0065_5683-32866-0012,s3,ungated_deflation,3,3,-0.5639360596246759,2,2,0
4077-13754-0001_5142-33396-0065_5683-32866-0012,s1,gated_deflation,3,1,inf,0,0,0
4077-13754-0001_5142-33396-0065_5683-32866-0012,s1,gated_deflation,3,2,nan,0,0,0
4077-13754-0001_5142-33396-0065_5683-32866-0012,s1,gated_deflation,3,3,-1.4257591921201196,0,0,0
4077-13754-0001_5142-33396-0065_5683-32866-0012,s2,gated_deflation,3,1,inf,1,1,0
4077-13754-0001_5142-33396-0065_5683-32866-0012,s2,gated_deflation,3,2,0.811539657573782,1,1,0
4077-13754-0001_5142-33396-0065_5683-32866-0012,s2,gated_deflation,3,3,-7.613514582715868,1,1,0
4077-13754-0001_5142-33396-0065_5683-32866-0012,s3,gated_deflation,3,1,27.541736623780636,2,1,0
4077-13754-0001_5142-33396-0065_5683-32866-0012,s3,gated_deflation,3,2,5.496135268184405,2,1,0
4077-13754-0001_5142-33396-0065_5683-32866-0012,s3,gated_deflation,3,3,1.8391583315761393,2,1,0
4077-13754-0001_5142-33396-0065_5683-32866-0012,s1,coarse_to_fine,3,1,inf,,,2
4077-13754-0001_5142-33396-0065_5683-32866-0012,s1,coarse_to_fine,3,2,nan,,,2
4077-13754-0001_5142-33396-0065_5683-32866-0012,s1,coarse_to_fine,3,3,-3.1184248476083063,,,2
4077-13754-0001_5142-33396-0065_5683-32866-0012,s2,coarse_to_fine,3,1,inf,,,2
4077-13754-0001_5142-33396-0065_5683-32866-0012,s2,coarse_to_fine,3,2,0.6981758574199921,,,2
4077-13754-0001_5142-33396-0065_5683-32866-0012,s2,coarse_to_fine,3,3,-6.483708468309251,,,2
4077-13754-0001_5142-33396-0065_5683-32866-0012,s3,coarse_to_fine,3,1,29.738792786618728,,,2
4077-13754-0001_5142-33396-0065_5683-32866-0012,s3,coarse_to_fine,3,2,2.3529096717306546,,,2
4077-13754-0001_5142-33396-0065_5683-32866-0012,s3,coarse_to_fine,3,3,4.752038923936778,,,2
4507-16021-0025_1188-133604-0025_4992-23283-0016,s1,no_recursion,3,1,66.71769079039589,,,0
4507-16021-0025_1188-133604-0025_4992-23283-0016,s1,no_recursion,3,2,7.6107018825731245,,,0
4507-16021-0025_1188-133604-0025_4992-23283-0016,s1,no_recursion,3,3,4.455023814087808,,,0
4507-16021-0025_1188-133604-0025_4992-23283-0016,s2,no_recursion,3,1,inf,,,0
4507-16021-0025_1188-133604-0025_4992-23283-0016,s2,no_recursion,3,2,-7.631085619416163,,,0
4507-16021-0025_1188-133604-0025_4992-23283-0016,s2,no_recursion,3,3,-5.985396277991912,,,0
4507-16021-0025_1188-133604-0025_4992-23283-0016,s3,no_recursion,3,1,28.922308834041534,,,0
4507-16021-0025_1188-133604-0025_4992-23283-0016,s3,no_recursion,3,2,nan,,,0
4507-16021-0025_1188-133604-0025_4992-23283-0016,s3,no_recursion,3,3,-9.108703932461498,,,0
4507-16021-0025_1188-133604-0025_4992-23283-0016,s1,ungated_deflation,3,1,60.38432123856822,2,2,0
4507-16021-0025_1188-133604-0025_4992-23283-0016,s1,ungated_deflation,3,2,5.471268778686637,2,2,0
4507-16021-0025_1188-133604-0025_4992-23283-0016,s1,ungated_deflation,3,3,1.8817115307829906,2,2,0
4507-16021-0025_1188-133604-0025_4992-23283-0016,s2,ungated_deflation,3,1,inf,0,0,0
4507-16021-0025_1188-133604-0025_4992-23283-0016,s2,ungated_deflation,3,2,-7.631085619416163,0,0,0
4507-16021-0025_1188-133604-0025_4992-23283-0016,s2,ungated_deflation,3,3,-5.985396277991912,0,0,0
4507-16021-0025_1188-133604-0025_4992-23283-0016,s3,ungated_deflation,3,1,24.78423340865788,1,1,0
4507-16021-0025_1188-133604-0025_4992-23283-0016,s3,ungated_deflation,3,2,nan,1,1,0
4507-16021-0025_1188-133604-0025_4992-23283-0016,s3,ungated_deflation,3,3,-7.754883884132687,1,1,0
4507-16021-0025_1188-133604-0025_4992-23283-0016,s1,gated_deflation,3,1,66.8225049869101,2,1,0
4507-16021-0025_1188-133604-0025_4992-23283-0016,s1,gated_deflation,3,2,7.324912305626443,2,1,0
