scene,speaker,system,m,depth,si_sdr,deflation_index,n_accepted_before,refine_rounds
4077-13754-0001_5142-33396-0065_5683-32866-0012_x4,s1,no_recursion,4,1,inf,,,0
4077-13754-0001_5142-33396-0065_5683-32866-0012_x4,s1,no_recursion,4,2,nan,,,0
4077-13754-0001_5142-33396-0065_5683-32866-0012_x4,s1,no_recursion,4,3,nan,,,0
4077-13754-0001_5142-33396-0065_5683-32866-0012_x4,s1,no_recursion,4,4,-3.9743891395646846,,,0
4077-13754-0001_5142-33396-0065_5683-32866-0012_x4,s2,no_recursion,4,1,inf,,,0
4077-13754-0001_5142-33396-0065_5683-32866-0012_x4,s2,no_recursion,4,2,0.21540021633530443,,,0
4077-13754-0001_5142-33396-0065_5683-32866-0012_x4,s2,no_recursion,4,3,4.2367604111102555,,,0
4077-13754-0001_5142-33396-0065_5683-32866-0012_x4,s2,no_recursion,4,4,-8.030313941468606,,,0
4077-13754-0001_5142-33396-0065_5683-32866-0012_x4,s3,no_recursion,4,1,61.113209492613684,,,0
4077-13754-0001_5142-33396-0065_5683-32866-0012_x4,s3,no_recursion,4,2,5.835036990019532,,,0
4077-13754-0001_5142-33396-0065_5683-32866-0012_x4,s3,no_recursion,4,3,-7.07054095060183,,,0
4077-13754-0001_5142-33396-0065_5683-32866-0012_x4,s3,no_recursion,4,4,1.274015934735797,,,0
4077-13754-0001_5142-33396-0065_5683-32866-0012_x4,s4,no_recursion,4,1,19.888795044369274,,,0
4077-13754-0001_5142-33396-0065_5683-32866-0012_x4,s4,no_recursion,4,2,nan,,,0
4077-13754-0001_5142-33396-0065_5683-32866-0012_x4,s4,no_recursion,4,3,-13.987451822502024,,,0
4077-13754-0001_5142-33396-0065_5683-32866-0012_x4,s4,no_recursion,4,4,-5.422581512099488,,,0
4077-13754-0001_5142-33396-0065_5683-32866-0012_x4,s1,ungated_deflation,4,1,inf,0,0,0
4077-13754-0001_5142-33396-0065_5683-32866-0012_x4,s1,ungated_deflation,4,2,nan,0,0,0
4077-13754-0001_5142-33396-0065_5683-32866-0012_x4,s1,ungated_deflation,4,3,nan,0,0,0
4077-13754-0001_5142-33396-0065_5683-32866-0012_x4,s1,ungated_deflation,4,4,-3.9743891395646846,0,0,0
4077-13754-0001_5142-33396-0065_5683-32866-0012_x4,s2,ungated_deflation,4,1,inf,1,1,0
4077-13754-0001_5142-33396-0065_5683-32866-0012_x4,s2,ungated_deflation,4,2,-2.6280028651822533,1,1,0
4077-13754-0001_5142-33396-0065_5683-32866-0012_x4,s2,ungated_deflation,4,3,5.9387180093667,1,1,0
4077-13754-0001_5142-33396-0065_5683-32866-0012_x4,s2,ungated_deflation,4,4,-9.539632005779616,1,1,0
4077-13754-0001_5142-33396-0065_5683-32866-0012_x4,s3,ungated_deflation,4,1,66.75894567880569,3,3,0
4077-13754-0001_5142-33396-0065_5683-32866-0012_x4,s3,ungated_deflation,4,2,3.3874888046702107,3,3,0
4077-13754-0001_5142-33396-0065_5683-32866-0012_x4,s3,ungated_deflation,4,3,-3.0572456403248176,3,3,0
4077-13754-0001_5142-33396-0065_5683-32866-0012_x4,s3,ungated_deflation,4,4,-3.4879485741467424,3,3,0
4077-13754-0001_5142-33396-0065_5683-32866-0012_x4,s4,ungated_deflation,4,1,10.57886930290297,2,2,0
4077-13754-0001_5142-33396-0065_5683-32866-0012_x4,s4,ungated_deflation,4,2,nan,2,2,0
4077-13754-0001_5142-33396-0065_5683-32866-0012_x4,s4,ungated_deflation,4,3,-13.14562865791868,2,2,0
4077-13754-0001_5142-33396-0065_5683-32866-0012_x4,s4,ungated_deflation,4,4,-5.981290228999847,2,2,0
4077-13754-0001_5142-33396-0065_5683-32866-0012_x4,s1,gated_deflation,4,1,inf,0,0,0
4077-13754-0001_5142-33396-0065_5683-32866-0012_x4,s1,gated_deflation,4,2,nan,0,0,0
4077-13754-0001_5142-33396-0065_5683-32866-0012_x4,s1,gated_deflation,4,3,nan,0,0,0
4077-13754-0001_5142-33396-0065_5683-32866-0012_x4,s1,gated_deflation,4,4,-3.9743891395646846,0,0,0
4077-13754-0001_5142-33396-0065_5683-32866-0012_x4,s2,gated_deflation,4,1,inf,1,1,0
4077-13754-0001_5142-33396-0065_5683-32866-0012_x4,s2,gated_deflation,4,2,-2.6280028651822533,1,1,0
4077-13754-0001_5142-33396-0065_5683-32866-0012_x4,s2,gated_deflation,4,3,5.9387180093667,1,1,0
4077-13754-0001_5142-33396-0065_5683-32866-0012_x4,s2,gated_deflation,4,4,-9.539632005779616,1,1,0
4077-13754-0001_5142-33396-0065_5683-32866-0012_x4,s3,gated_deflation,4,1,64.17578433486017,3,1,0
4077-13754-0001_5142-33396-0065_5683-32866-0012_x4,s3,gated_deflation,4,2,8.651752137904971,3,1,0
4077-13754-0001_5142-33396-0065_5683-32866-0012_x4,s3,gated_deflation,4,3,-6.440974183525449,3,1,0
4077-13754-0001_5142-33396-0065_5683-32866-0012_x4,s3,gated_deflation,4,4,-0.5643449859548708,3,1,0
4077-13754-0001_5142-33396-0065_5683-32866-0012_x4,s4,gated_deflation,4,1,14.028961819100918,2,1,0
4077-13754-0001_5142-33396-0065_5683-32866-0012_x4,s4,gated_deflation,4,2,nan,2,1,0
4077-13754-0001_5142-33396-0065_5683-32866-0012_x4,s4,gated_deflation,4,3,-14.537390234782787,2,1,0
4077-13754-0001_5142-33396-0065_5683-32866-0012_x4,s4,gated_deflation,4,4,-5.110563500195902,2,1,0
4077-13754-0001_5142-33396-0065_5683-32866-0012_x4,s1,coarse_to_fine,4,1,inf,,,2
4077-13754-0001_5142-33396-0065_5683-32866-0012_x4,s1,coarse_to_fine,4,2,nan,,,2
4077-13754-0001_5142-33396-0065_5683-32866-0012_x4,s1,coarse_to_fine,4,3,nan,,,2
4077-13754-0001_5142-33396-0065_5683-32866-0012_x4,s1,coarse_to_fine,4,4,-3.9743891395646846,,,2
4077-13754-0001_5142-33396-0065_5683-32866-0012_x4,s2,coarse_to_fine,4,1,inf,,,2
4077-13754-0001_5142-33396-0065_5683-32866-0012_x4,s2,coarse_to_fine,4,2,0.21540021633530443,,,2
4077-13754-0001_5142-33396-0065_5683-32866-0012_x4,s2,coarse_to_fine,4,3,4.2367604111102555,,,2
