scene,speaker,system,round,accepted,mean_variance,margin,vad_coverage,artifact_score,reason
4077-13754-0001_5142-33396-0065_5683-32866-0012_x4,s1,gated_deflation,0,True,0.0,0.23261386015670255,1.0,0.8410674073279958,accepted
4077-13754-0001_5142-33396-0065_5683-32866-0012_x4,s2,gated_deflation,0,False,0.0,0.06422199133464546,0.9843265792610251,0.7750526555538714,margin
4077-13754-0001_5142-33396-0065_5683-32866-0012_x4,s3,gated_deflation,0,True,0.0001596384807540234,0.503746357407703,0.9851907032181169,0.5754128200010667,accepted
4077-13754-0001_5142-33396-0065_5683-32866-0012_x4,s4,gated_deflation,0,False,0.0,0.053854560444468846,1.0,0.8320522109007554,margin
4077-13754-0001_5142-33396-0065_5683-32866-0012_x4,s1,coarse_to_fine,0,False,0.0,0.02031134916967403,1.0,0.5362534946528194,margin
4077-13754-0001_5142-33396-0065_5683-32866-0012_x4,s2,coarse_to_fine,0,False,0.0,0.05242193980939347,1.0,0.5287445828111439,margin
4077-13754-0001_5142-33396-0065_5683-32866-0012_x4,s3,coarse_to_fine,0,True,0.0001596384807540234,0.27169899694062677,1.0,0.4357694521262,accepted
4077-13754-0001_5142-33396-0065_5683-32866-0012_x4,s4,coarse_to_fine,0,False,0.0,-0.06215970779112778,1.0,0.5499202662754613,margin
4077-13754-0001_5142-33396-0065_5683-32866-0012_x4,s1,coarse_to_fine,1,False,0.0,0.02031134916967403,1.0,0.5362534946528194,margin
4077-13754-0001_5142-33396-0065_5683-32866-0012_x4,s2,coarse_to_fine,1,False,0.0,-0.10128383948711811,1.0,0.5287445828111439,margin
4077-13754-0001_5142-33396-0065_5683-32866-0012_x4,s3,coarse_to_fine,1,True,0.0001596384807540234,0.6579900654395525,1.0,0.4019799814929873,accepted
4077-13754-0001_5142-33396-0065_5683-32866-0012_x4,s4,coarse_to_fine,1,False,0.0,-0.06215970779112778,1.0,0.5499202662754613,margin
4507-16021-0025_1188-133604-0025_4992-23283-0016_x4,s1,gated_deflation,0,True,0.00018342519574962582,0.16294210427995393,0.9278100775193798,0.5320477029039937,accepted
4507-16021-0025_1188-133604-0025_4992-23283-0016_x4,s2,gated_deflation,0,False,0.0,-0.011467277857008185,0.9982751937984496,0.5883302004574814,margin
4507-16021-0025_1188-133604-0025_4992-23283-0016_x4,s3,gated_deflation,0,True,0.0,0.24537515282208205,1.0,0.7540442916992133,accepted
4507-16021-0025_1188-133604-0025_4992-23283-0016_x4,s4,gated_deflation,0,True,0.0,0.20766215981269098,1.0,0.7668397145637434,accepted
4507-16021-0025_1188-133604-0025_4992-23283-0016_x4,s1,coarse_to_fine,0,False,0.00018342519574962582,0.06999887700992036,0.9825,0.3056548426848259,margin
4507-16021-0025_1188-133604-0025_4992-23283-0016_x4,s2,coarse_to_fine,0,False,0.0,-0.1617596607866788,1.0,0.3474472174624155,margin
4507-16021-0025_1188-133604-0025_4992-23283-0016_x4,s3,coarse_to_fine,0,False,0.0,-0.0038123681859112968,1.0,0.3467978560652387,margin
