scene,speaker,system,m,depth,si_sdr,deflation_index,n_accepted_before,refine_rounds
4077-13754-0001_5142-33396-0065_5683-32866-0012,s1,no_recursion,3,1,inf,,,0
4077-13754-0001_5142-33396-0065_5683-32866-0012,s1,no_recursion,3,2,nan,,,0
4077-13754-0001_5142-33396-0065_5683-32866-0012,s1,no_recursion,3,3,-2.8954192909644565,,,0
4077-13754-0001_5142-33396-0065_5683-32866-0012,s2,no_recursion,3,1,inf,,,0
4077-13754-0001_5142-33396-0065_5683-32866-0012,s2,no_recursion,3,2,-0.6113083140067985,,,0
4077-13754-0001_5142-33396-0065_5683-32866-0012,s2,no_recursion,3,3,-5.914735233972981,,,0
4077-13754-0001_5142-33396-0065_5683-32866-0012,s3,no_recursion,3,1,32.5608542673667,,,0
4077-13754-0001_5142-33396-0065_5683-32866-0012,s3,no_recursion,3,2,0.5256046812481789,,,0
4077-13754-0001_5142-33396-0065_5683-32866-0012,s3,no_recursion,3,3,1.559018345498455,,,0
4077-13754-0001_5142-33396-0065_5683-32866-0012,s1,ungated_deflation,3,1,inf,0,0,0
4077-13754-0001_5142-33396-0065_5683-32866-0012,s1,ungated_deflation,3,2,nan,0,0,0
4077-13754-0001_5142-33396-0065_5683-32866-0012,s1,ungated_deflation,3,3,-2.8954192909644565,0,0,0
4077-13754-0001_5142-33396-0065_5683-32866-0012,s2,ungated_deflation,3,1,inf,1,1,0
4077-13754-0001_5142-33396-0065_5683-32866-0012,s2,ungated_deflation,3,2,0.27840360623617244,1,1,0
4077-13754-0001_5142-33396-0065_5683-32866-0012,s2,ungated_deflation,3,3,-6.38168256983586,1,1,0
4077-13754-0001_5142-33396-0065_5683-32866-0012,s3,ungated_deflation,3,1,22.585059824440847,2,2,0
4077-13754-0001_5142-33396-0065_5683-32866-0012,s3,ungated_deflation,3,2,-2.0281877032401345,2,2,0
4077-13754-0001_5142-33396-0065_5683-32866-0012,s3,ungated_deflation,3,3,-1.0700170149771409,2,2,0
4077-13754-0001_5142-33396-0065_5683-32866-0012,s1,gated_deflation,3,1,inf,0,0,0
4077-13754-0001_5142-33396-0065_5683-32866-0012,s1,gated_deflation,3,2,nan,0,0,0
4077-13754-0001_5142-33396-0065_5683-32866-0012,s1,gated_deflation,3,3,-2.8954192909644565,0,0,0
4077-13754-0001_5142-33396-0065_5683-32866-0012,s2,gated_deflation,3,1,inf,1,1,0
4077-13754-0001_5142-33396-0065_5683-32866-0012,s2,gated_deflation,3,2,0.27840360623617244,1,1,0
4077-13754-0001_5142-33396-0065_5683-32866-0012,s2,gated_deflation,3,3,-6.38168256983586,1,1,0
4077-13754-0001_5142-33396-0065_5683-32866-0012,s3,gated_deflation,3,1,28.411187130461663,2,1,0
4077-13754-0001_5142-33396-0065_5683-32866-0012,s3,gated_deflation,3,2,2.522500332638149,2,1,0
4077-13754-0001_5142-33396-0065_5683-32866-0012,s3,gated_deflation,3,3,1.1238616917419617,2,1,0
4077-13754-0001_5142-33396-0065_5683-32866-0012,s1,coarse_to_fine,3,1,inf,,,2
4077-13754-0001_5142-33396-0065_5683-32866-0012,s1,coarse_to_fine,3,2,nan,,,2
4077-13754-0001_5142-33396-0065_5683-32866-0012,s1,coarse_to_fine,3,3,-5.288155539207082,,,2
4077-13754-0001_5142-33396-0065_5683-32866-0012,s2,coarse_to_fine,3,1,inf,,,2
4077-13754-0001_5142-33396-0065_5683-32866-0012,s2,coarse_to_fine,3,2,-2.3975342922796985,,,2
4077-13754-0001_5142-33396-0065_5683-32866-0012,s2,coarse_to_fine,3,3,-7.386595796131177,,,2
4077-13754-0001_5142-33396-0065_5683-32866-0012,s3,coarse_to_fine,3,1,31.586162908641988,,,2
4077-13754-0001_5142-33396-0065_5683-32866-0012,s3,coarse_to_fine,3,2,2.283082852190254,,,2
4077-13754-0001_5142-33396-0065_5683-32866-0012,s3,coarse_to_fine,3,3,4.17831658890273,,,2
4507-16021-0025_1188-133604-0025_4992-23283-0016,s1,no_recursion,3,1,67.48375468331643,,,0
4507-16021-0025_1188-133604-0025_4992-23283-0016,s1,no_recursion,3,2,9.40537215129486,,,0
4507-16021-0025_1188-133604-0025_4992-23283-0016,s1,no_recursion,3,3,5.6561985220971565,,,0
4507-16021-0025_1188-133604-0025_4992-23283-0016,s2,no_recursion,3,1,inf,,,0
4507-16021-0025_1188-133604-0025_4992-23283-0016,s2,no_recursion,3,2,0.18723027080135296,,,0
4507-16021-0025_1188-133604-0025_4992-23283-0016,s2,no_recursion,3,3,0.4652689314551195,,,0
4507-16021-0025_1188-133604-0025_4992-23283-0016,s3,no_recursion,3,1,30.707461472002088,,,0
4507-16021-0025_1188-133604-0025_4992-23283-0016,s3,no_recursion,3,2,nan,,,0
4507-16021-0025_1188-133604-0025_4992-23283-0016,s3,no_recursion,3,3,-9.183215707484568,,,0
4507-16021-0025_1188-133604-0025_4992-23283-0016,s1,ungated_deflation,3,1,60.68818818223572,2,2,0
4507-16021-0025_1188-133604-0025_4992-23283-0016,s1,ungated_deflation,3,2,3.2976708379133877,2,2,0
4507-16021-0025_1188-133604-0025_4992-23283-0016,s1,ungated_deflation,3,3,4.0740315284354685,2,2,0
4507-16021-0025_1188-133604-0025_4992-23283-0016,s2,ungated_deflation,3,1,inf,0,0,0
4507-16021-0025_1188-133604-0025_4992-23283-0016,s2,ungated_deflation,3,2,0.18723027080135296,0,0,0
4507-16021-0025_1188-133604-0025_4992-23283-0016,s2,ungated_deflation,3,3,0.4652689314551195,0,0,0
4507-16021-0025_1188-133604-0025_4992-23283-0016,s3,ungated_deflation,3,1,30.20786025901299,1,1,0
4507-16021-0025_1188-133604-0025_4992-23283-0016,s3,ungated_deflation,3,2,nan,1,1,0
4507-16021-0025_1188-133604-0025_4992-23283-0016,s3,ungated_deflation,3,3,-7.4309754518314755,1,1,0
4507-16021-0025_1188-133604-0025_4992-23283-0016,s1,gated_deflation,3,1,60.68818818223572,2,2,0
