scene,speaker,m,population,mean_variance,margin,vad_coverage,artifact_score
long_00000_5338-5694-1673,s1,3,honest,0.0,0.44195415145423383,0.9440069364897543,0.7226518670519754
long_00000_5338-5694-1673,s1,3,correct,0.0,0.44195415145423383,0.9440069364897543,0.7226518670519754
long_00000_5338-5694-1673,s1,3,contaminated,0.0,0.44195415145423383,0.9440069364897543,0.7226518670519754
long_00000_5338-5694-1673,s1,3,swapped,0.0,0.4249671400388674,0.9370704467353952,0.7191640031694453
long_00000_5338-5694-1673,s1,3,clean_correct,0.0,0.4911692171090217,0.7110617920325825,0.706748201802179
long_00000_5338-5694-1673,s1,3,clean_swapped,0.0,0.44943077068264636,0.0,0.7936337677886149
long_00000_5338-5694-1673,s2,3,honest,0.0,0.5148409005127041,0.9577953763698904,0.7349299359050996
long_00000_5338-5694-1673,s2,3,correct,0.0,0.5148409005127041,0.9577953763698904,0.7349299359050996
long_00000_5338-5694-1673,s2,3,contaminated,0.00011361206198774302,0.5148409005127041,0.9577953763698904,0.7349299359050996
long_00000_5338-5694-1673,s2,3,swapped,0.0,0.29603673034060607,0.9325293976481881,0.754492091060458
long_00000_5338-5694-1673,s2,3,clean_correct,0.0,0.6372373321171031,0.8022358211343092,0.7218430113995402
long_00000_5338-5694-1673,s2,3,clean_swapped,0.0,0.014459012561162776,0.3572314214862811,0.804891647521973
long_00000_5338-5694-1673,s3,3,honest,0.0,0.5318810488037058,0.895742832319722,0.7514409120999372
long_00000_5338-5694-1673,s3,3,correct,0.0,0.5318810488037058,0.895742832319722,0.7514409120999372
long_00000_5338-5694-1673,s3,3,contaminated,0.0,0.5318810488037058,0.895742832319722,0.7514409120999372
long_00000_5338-5694-1673,s3,3,swapped,0.0,0.49893425589216117,0.9723348457058275,0.751602666111528
long_00000_5338-5694-1673,s3,3,clean_correct,0.0,0.5479927884076707,0.8626637062779547,0.7529781067161659
long_00000_5338-5694-1673,s3,3,clean_swapped,0.0,0.4348016157307545,0.7719374456993918,0.7383606353144715
long_00001_2277-3752-652,s1,3,honest,0.0,0.5466343166543706,0.9396162714097497,0.7470959807184141
long_00001_2277-3752-652,s1,3,correct,0.0,0.5466343166543706,0.9396162714097497,0.7470959807184141
long_00001_2277-3752-652,s1,3,contaminated,0.0,0.5466343166543706,0.9396162714097497,0.7470959807184141
long_00001_2277-3752-652,s1,3,swapped,0.0,0.5142527037542903,0.9765974967061923,0.7420774779001805
long_00001_2277-3752-652,s1,3,clean_correct,0.0,0.641748662115394,0.8010869565217391,0.7333326897658857
long_00001_2277-3752-652,s1,3,clean_swapped,0.0,0.5639694176060768,0.0009387351778656126,0.814114273395691
long_00001_2277-3752-652,s2,3,honest,0.0,0.25282618483133446,0.9463098898918758,0.7073081783227991
long_00001_2277-3752-652,s2,3,correct,0.0,0.25282618483133446,0.9463098898918758,0.7073081783227991
long_00001_2277-3752-652,s2,3,contaminated,6.794269544091534e-05,0.25282618483133446,0.9463098898918758,0.7073081783227991
long_00001_2277-3752-652,s2,3,swapped,0.0,0.2543072207654692,0.9572463049300665,0.7707280719773555
long_00001_2277-3752-652,s2,3,clean_correct,0.0,0.5048404191843794,0.7446888536190193,0.7190062805891001
long_00001_2277-3752-652,s2,3,clean_swapped,0.0,0.10292839444902241,0.39268591078927356,0.8067203534326411
long_00001_2277-3752-652,s3,3,honest,0.0,0.431542291861307,1.0,0.7212295118216505
long_00001_2277-3752-652,s3,3,correct,0.0,0.431542291861307,1.0,0.7212295118216505
long_00001_2277-3752-652,s3,3,contaminated,0.0,0.431542291861307,1.0,0.7212295118216505
long_00001_2277-3752-652,s3,3,swapped,0.0,0.45291999455421433,0.9963071765252606,0.7057325546211726
long_00001_2277-3752-652,s3,3,clean_correct,0.0,0.5459089597337248,0.976822346146186,0.7197969571298032
long_00001_2277-3752-652,s3,3,clean_swapped,0.0,0.3161763130523513,0.8113921529575782,0.7154023098567811
long_00002_1272-3752-3576,s1,3,honest,0.0,0.3367437575309072,0.9594152626362735,0.7612503582129542
long_00002_1272-3752-3576,s1,3,correct,0.0,0.3367437575309072,0.9594152626362735,0.7612503582129542
long_00002_1272-3752-3576,s1,3,contaminated,0.0,0.3367437575309072,0.9594152626362735,0.7612503582129542
long_00002_1272-3752-3576,s1,3,swapped,0.0,0.3559250302570038,0.9679798480343574,0.7783121230284722
long_00002_1272-3752-3576,s1,3,clean_correct,0.0,0.4209243396624019,0.7175090849025437,0.7705226131236365
long_00002_1272-3752-3576,s1,3,clean_swapped,0.0,0.39103429639146703,0.0008506772381896266,0.8406038833609593
long_00002_1272-3752-3576,s2,3,honest,0.0,0.1635627170879168,0.9241365364393755,0.7354825644498426
long_00002_1272-3752-3576,s2,3,correct,0.0,0.1635627170879168,0.9241365364393755,0.7354825644498426
long_00002_1272-3752-3576,s2,3,contaminated,6.253437805370341e-05,0.1635627170879168,0.9241365364393755,0.7354825644498426
long_00002_1272-3752-3576,s2,3,swapped,0.0,0.17908784101143493,0.9514883118984065,0.7390558816406158
long_00002_1272-3752-3576,s2,3,clean_correct,0.0,0.43817587656193546,0.7595648305427485,0.7529462493820682
long_00002_1272-3752-3576,s2,3,clean_swapped,0.0,0.07728842830869065,0.3510555690366416,0.8260688162332157
long_00002_1272-3752-3576,s3,3,honest,0.0,0.5226381727524565,0.8720637184973847,0.6683379811212042
long_00002_1272-3752-3576,s3,3,correct,0.0,0.5226381727524565,0.8720637184973847,0.6683379811212042
long_00002_1272-3752-3576,s3,3,contaminated,0.0,0.5226381727524565,0.8720637184973847,0.6683379811212042
long_00002_1272-3752-3576,s3,3,swapped,0.0,0.507975487082926,0.9077983832620067,0.6568507560834057
long_00002_1272-3752-3576,s3,3,clean_correct,0.0,0.5583385748518818,0.9133460136313203,0.6644889632377164
long_00002_1272-3752-3576,s3,3,clean_swapped,0.0,0.47238015693334223,0.711182437787288,0.6638660415274478
long_00003_3752-6313-3170,s1,3,honest,0.0,0.3555421647088957,0.9407985950642388,0.7174281662205059
